Code,Year,Gas co2,Coal co2,Oil co2,Cement co2,Flaring co2,IDCO2S
AFG,1949,0,0.014656,0,0,0,1949AFG
AFG,1950,0,0.021984,0.065952,0,0,1950AFG
AFG,1951,0,0.025648,0.065952,0,0,1951AFG
AFG,1952,0,0.032976,0.062288,0,0,1952AFG
AFG,1953,0,0.03664,0.065952,0,0,1953AFG
AFG,1954,0,0.043968,0.065952,0,0,1954AFG
AFG,1955,0,0.062288,0.0916,0,0,1955AFG
AFG,1956,0,0.062288,0.120912,0,0,1956AFG
AFG,1957,0,0.076944,0.216176,0,0,1957AFG
AFG,1958,0,0.0916,0.23816,0,0,1958AFG
AFG,1959,0,0.10992,0.25648,0.01832,0,1959AFG
AFG,1960,,0.12712,0.26876,0.018012,,1960AFG
AFG,1961,,0.17587,0.29312,0.021806,,1961AFG
AFG,1962,,0.29678,0.36274,0.029074,,1962AFG
AFG,1963,,0.26381,0.39205,0.05088,,1963AFG
AFG,1964,,0.30045,0.47632,0.061783,,1964AFG
AFG,1965,,0.38106,0.54227,0.083589,,1965AFG
AFG,1966,,0.42869,0.57525,0.087223,,1966AFG
AFG,1967,0.26014,0.39938,0.55693,0.065417,,1967AFG
AFG,1968,0.34704,0.33243,0.49682,0.047105,,1968AFG
AFG,1969,,0.36274,0.52762,0.05088,,1969AFG
AFG,1970,0.21665,0.43697,0.67199,0.04735,0.29744,1970AFG
AFG,1971,0.43968,0.35907,0.74746,0.043611,0.30411,1971AFG
AFG,1972,0.30045,0.19053,0.62654,0.047246,0.3664,1972AFG
AFG,1973,0.33268,0.31074,0.70192,0.068897,0.22301,1973AFG
AFG,1974,0.40014,0.30469,0.77091,0.072825,0.3671,1974AFG
AFG,1975,0.4755,0.39869,0.87419,0.072561,0.30359,1975AFG
AFG,1976,0.30045,0.42502,0.88302,0.082609,0.29312,1976AFG
AFG,1977,0.51296,0.45067,0.97462,0.067434,0.38106,1977AFG
AFG,1978,0.30096,0.57623,0.93591,0.059713,0.28261,1978AFG
AFG,1979,0.38472,0.35174,1.1652,0.065816,0.26747,1979AFG
AFG,1980,0.18725,0.31576,0.92526,0.024,0.30475,1980AFG
AFG,1981,0.30411,0.33342,1.0149,0.033789,0.29312,1981AFG
AFG,1982,0.39571,0.38472,0.99294,0.040035,0.28213,1982AFG
AFG,1983,0.61555,0.38472,1.2201,0.0065874,0.29312,1983AFG
AFG,1984,0.93186,0.39256,1.1336,0.04883,0.31551,1984AFG
AFG,1985,1.192,0.39979,1.5478,0.032119,0.3301,1985AFG
AFG,1986,1.2018,0.42502,1.1395,0.037992,0.32976,1986AFG
AFG,1987,0.39159,0.44282,2.0128,0.043677,0.22324,1987AFG
AFG,1988,0.43968,0.3664,1.821,0.043132,0.18686,1988AFG
AFG,1989,0.47998,0.33709,1.865,0.042536,0.040304,1989AFG
AFG,1990,0.40304,0.27846,1.8503,0.044936,0.025648,1990AFG
AFG,1991,0.38838,0.24915,1.7184,0.044886,0.025648,1991AFG
AFG,1992,0.36274,0.021984,0.92699,0.047826,0.021984,1992AFG
AFG,1993,0.35174,0.01832,0.89402,0.047773,0.021984,1993AFG
AFG,1994,0.33805,0.014698,0.85981,0.047856,0.022046,1994AFG
AFG,1995,0.32243,0.014656,0.8244,0.047668,0.021984,1995AFG
AFG,1996,0.30778,0.007328,0.78043,0.047615,0.021984,1996AFG
AFG,1997,0.28307,0.0036763,0.72791,0.047722,0.022058,1997AFG
AFG,1998,0.26474,0.0036769,0.69127,0.047677,0.022062,1998AFG
AFG,1999,0.24182,0.003664,0.49464,0.047457,0.021984,1999AFG
AFG,2000,0.2235,0.003664,0.4983,0.020739,0.021984,2000AFG
AFG,2001,0.20885,0.069616,0.49098,0.02065,0.021984,2001AFG
AFG,2002,0.54594,0.05496,0.43968,0.023499,,2002AFG
AFG,2003,0.46533,0.0916,0.61922,0.029247,,2003AFG
AFG,2004,0.22717,0.0916,0.56059,0.02912,,2004AFG
AFG,2005,0.32976,0.10626,0.86104,0.023194,,2005AFG
AFG,2006,0.32903,0.16086,1.1333,0.020049,,2006AFG
AFG,2007,0.30827,0.74866,1.2001,0.011337,,2007AFG
AFG,2008,0.29678,1.0772,2.8103,0.014042,,2008AFG
AFG,2009,0.27114,1.5352,4.9427,0.011225,,2009AFG
AFG,2010,0.27125,2.2983,5.8686,0.014038,,2010AFG
AFG,2011,0.30778,4.3015,7.6028,0.013905,,2011AFG
AFG,2012,0.30778,3.664,6.7564,0.013865,,2012AFG
AFG,2013,0.29678,3.9388,4.7815,0.019678,,2013AFG
AFG,2014,0.27114,4.3748,3.7703,0.03367,,2014AFG
AFG,2015,0.28213,3.9718,4.7376,0.028058,,2015AFG
AFG,2016,0.31863,4.8234,3.472,0.039265,,2016AFG
AFG,2017,0.31916,5.0467,3.566,0.039282,,2017AFG
AFG,2018,0.33608,5.3991,3.6643,0.039282,,2018AFG
ALB,1933,0,0,0.007328,0,0,1933ALB
ALB,1934,0,0,0.007328,0,0,1934ALB
ALB,1935,0,0,0.01832,0,0,1935ALB
ALB,1936,0,0,0.124576,0.003664,0,1936ALB
ALB,1937,0,0,0.289456,0.007328,0,1937ALB
ALB,1938,0,0,0.34808,0,0,1938ALB
ALB,1939,0,0,0.432352,0,0,1939ALB
ALB,1940,0,0,0.692496,0,0,1940ALB
ALB,1941,0,0,0.619216,0.007328,0,1941ALB
ALB,1942,0,0,0.743792,0,0,1942ALB
