Code,Year,Solar (% sub energy),Hydro (% sub energy),Wind (% sub energy),IDRES
,1965,0,5.537,0,
,1966,0,5.873,0,
,1967,0,6.08,0,
,1968,0,6.743,0,
,1969,0,7.683,0,
,1970,0,8.807,0,
,1971,0,7.629,0,
,1972,0,8.196,0,
,1973,0,8.007,0,
,1974,0,8.693,0,
,1975,0,8.685,0,
,1976,0,8.79,0,
,1977,0,9.184,0,
,1978,0,8.917,0,
,1979,0,8.706,0,
,1980,0,7.903,0,
,1981,0,7.374,0,
,1982,0,6.909,0,
,1983,0,6.063,0,
,1984,0,5.773,0,
,1985,0,6.177,0,
,1986,0,6.24,0,
,1987,0,5.806,0,
,1988,0,5.915,0,
,1989,0,6.192,0,
,1990,0,6.099,0,
,1991,0,6.467,0,
,1992,0,6.067,0,
,1993,0,5.921,0,
,1994,0,5.844,0,
,1995,0,5.829,0,
,1996,0,5.919,0,
,1997,0,5.95,0,
,1998,0,6.116,0,
,1999,0,6.295,0,
,2000,0.001,6.547,0,
,2001,0.001,6.727,0,
,2002,0.002,6.963,0,
,2003,0.002,6.426,0,
,2004,0.002,6.284,0,
,2005,0.002,6.32,0,
,2006,0.003,6.39,0,
,2007,0.004,6.339,0,
,2008,0.005,6.035,0,
,2009,0.006,6.052,0,
,2010,0.012,6.273,0,
,2011,0.026,6.388,0,
,2012,0.031,6.163,0.008,
,2013,0.044,6.328,0.008,
,2014,0.095,6.42,0.008,
,2015,0.183,6.095,0.004,
,2016,0.243,5.704,0.004,
,2017,0.334,5.93,0,
,2018,0.454,6.016,0,
,2019,0.869,5.955,0,
DZA,1965,0,4.487,0,1965DZA
DZA,1966,0,3.313,0,1966DZA
DZA,1967,0,4.042,0,1967DZA
DZA,1968,0,5.171,0,1968DZA
DZA,1969,0,2.996,0,1969DZA
DZA,1970,0,4.395,0,1970DZA
DZA,1971,0,2.311,0,1971DZA
DZA,1972,0,3.086,0,1972DZA
DZA,1973,0,3.933,0,1973DZA
DZA,1974,0,2.347,0,1974DZA
DZA,1975,0,1.296,0,1975DZA
DZA,1976,0,1.317,0,1976DZA
DZA,1977,0,0.829,0,1977DZA
DZA,1978,0,0.613,0,1978DZA
DZA,1979,0,0.544,0,1979DZA
DZA,1980,0,0.403,0,1980DZA
DZA,1981,0,0.473,0,1981DZA
DZA,1982,0,0.536,0,1982DZA
DZA,1983,0,0.241,0,1983DZA
DZA,1984,0,0.483,0,1984DZA
DZA,1985,0,0.684,0,1985DZA
DZA,1986,0,0.25,0,1986DZA
DZA,1987,0,0.486,0,1987DZA
DZA,1988,0,0.166,0,1988DZA
DZA,1989,0,0.211,0,1989DZA
DZA,1990,0,0.119,0,1990DZA
DZA,1991,0,0.261,0,1991DZA
DZA,1992,0,0.173,0,1992DZA
DZA,1993,0,0.329,0.004,1993DZA
DZA,1994,0,0.153,0.006,1994DZA
DZA,1995,0,0.171,0.013,1995DZA
DZA,1996,0,0.121,0.015,1996DZA
DZA,1997,0,0.07,0.014,1997DZA
DZA,1998,0,0.194,0.02,1998DZA
DZA,1999,0,0.181,0.031,1999DZA
DZA,2000,0,0.05,0.031,2000DZA
DZA,2001,0,0.061,0.027,2001DZA
DZA,2002,0,0.049,0.025,2002DZA
DZA,2003,0,0.214,0.023,2003DZA
DZA,2004,0,0.194,0.019,2004DZA
DZA,2005,0,0.408,0.013,2005DZA
DZA,2006,0,0.153,0.011,2006DZA
DZA,2007,0,0.15,0.007,2007DZA
DZA,2008,0,0.176,0.008,2008DZA
DZA,2009,0,0.2,0.101,2009DZA
DZA,2010,0.005,0.103,0.119,2010DZA
DZA,2011,0.01,0.211,0.162,2011DZA
DZA,2012,0.014,0.197,0.151,2012DZA
DZA,2013,0.014,0.047,0.139,2013DZA
DZA,2014,0.026,0.084,0.154,2014DZA
DZA,2015,0.024,0.059,0.357,2015DZA
DZA,2016,0.1,0.029,1.286,2016DZA
DZA,2017,0.202,0.022,0,2017DZA
DZA,2018,0.223,0.043,0,2018DZA
DZA,2019,0.216,0.053,0,2019DZA
ARG,1965,0,1.086,0,1965ARG
ARG,1966,0,1.065,0,1966ARG
ARG,1967,0,1.059,0,1967ARG
ARG,1968,0,1.207,0,1968ARG
ARG,1969,0,1.047,0,1969ARG
ARG,1970,0,1.282,0,1970ARG
ARG,1971,0,1.198,0,1971ARG
ARG,1972,0,1.147,0,1972ARG
ARG,1973,0,2.189,0,1973ARG
ARG,1974,0,3.522,0,1974ARG
ARG,1975,0,3.737,0,1975ARG
ARG,1976,0,3.416,0,1976ARG
ARG,1977,0,3.761,0,1977ARG
ARG,1978,0,4.956,0,1978ARG
ARG,1979,0,6.427,0,1979ARG
ARG,1980,0,9.138,0,1980ARG
ARG,1981,0,9.191,0,1981ARG
ARG,1982,0,10.753,0,1982ARG
ARG,1983,0,10.776,0,1983ARG
ARG,1984,0,11.652,0,1984ARG
ARG,1985,0,12.401,0,1985ARG
ARG,1986,0,11.433,0,1986ARG
ARG,1987,0,11.372,0,1987ARG
ARG,1988,0,7.724,0,1988ARG
ARG,1989,0,6.945,0,1989ARG
ARG,1990,0,9.676,0.001,1990ARG
ARG,1991,0,8.68,0.001,1991ARG
ARG,1992,0,9.84,0.002,1992ARG
ARG,1993,0,11.352,0.002,1993ARG
ARG,1994,0,13.236,0.002,1994ARG
ARG,1995,0,12.942,0.004,1995ARG
ARG,1996,0,11.017,0.009,1996ARG
ARG,1997,0,14.103,0.028,1997ARG
ARG,1998,0,13.355,0.06,1998ARG
ARG,1999,0,11.175,0.109,1999ARG
ARG,2000,0,13.779,0.14,2000ARG
ARG,2001,0,17.042,0.153,2001ARG
ARG,2002,0,17.6,0.249,2002ARG
ARG,2003,0,15.362,0.388,2003ARG
ARG,2004,0,13.128,0.502,2004ARG
ARG,2005,0,13.595,0.595,2005ARG
ARG,2006,0,14.255,0.765,2006ARG
ARG,2007,0,11.737,0.851,2007ARG
ARG,2008,0,11.304,1.053,2008ARG
ARG,2009,0,12.559,1.273,2009ARG
ARG,2010,0,11.792,1.505,2010ARG
ARG,2011,0,11.244,1.558,2011ARG
ARG,2012,0.002,10.108,1.847,2012ARG
ARG,2013,0.004,10.643,2.005,2013ARG
ARG,2014,0.004,10.676,2.023,2014ARG
ARG,2015,0.004,10.609,2.449,2015ARG
ARG,2016,0.004,9.684,2.715,2016ARG
ARG,2017,0.004,10.482,0,2017ARG
ARG,2018,0.027,10.524,0,2018ARG
ARG,2019,0.206,9.542,0,2019ARG
AUS,1965,0,5.27,0,1965AUS
AUS,1966,0,4.588,0,1966AUS
AUS,1967,0,4.48,0,1967AUS
AUS,1968,0,4.416,0,1968AUS
AUS,1969,0,4.632,0,1969AUS
AUS,1970,0,4.972,0,1970AUS
AUS,1971,0,5.358,0,1971AUS
AUS,1972,0,5.144,0,1972AUS
AUS,1973,0,5.116,0,1973AUS
AUS,1974,0,5.434,0,1974AUS
AUS,1975,0,5.736,0,1975AUS
AUS,1976,0,5.268,0,1976AUS
AUS,1977,0,4.803,0,1977AUS
AUS,1978,0,5.078,0,1978AUS
