Code,Year,Access to clean fuels cooking %,IDCFA
AFG,2000,8.8,2000AFG
AFG,2001,9.51,2001AFG
AFG,2002,10.39,2002AFG
AFG,2003,11.46,2003AFG
AFG,2004,12.43,2004AFG
AFG,2005,13.49,2005AFG
AFG,2006,14.81,2006AFG
AFG,2007,15.99,2007AFG
AFG,2008,17.44,2008AFG
AFG,2009,18.84,2009AFG
AFG,2010,20.68,2010AFG
AFG,2011,22.33,2011AFG
AFG,2012,24.08,2012AFG
AFG,2013,26.17,2013AFG
AFG,2014,27.99,2014AFG
AFG,2015,30.1,2015AFG
AFG,2016,32.44,2016AFG
ALB,2000,39.8,2000ALB
ALB,2001,42.7,2001ALB
ALB,2002,45.23,2002ALB
ALB,2003,47.62,2003ALB
ALB,2004,50.53,2004ALB
ALB,2005,53.25,2005ALB
ALB,2006,55.57,2006ALB
ALB,2007,58.14,2007ALB
ALB,2008,60.75,2008ALB
ALB,2009,63.24,2009ALB
ALB,2010,65.23,2010ALB
ALB,2011,67.81,2011ALB
ALB,2012,69.96,2012ALB
ALB,2013,71.78,2013ALB
ALB,2014,73.98,2014ALB
ALB,2015,75.37,2015ALB
ALB,2016,77.42,2016ALB
DZA,2000,86.47,2000DZA
DZA,2001,87.68,2001DZA
DZA,2002,88.87,2002DZA
DZA,2003,89.4,2003DZA
DZA,2004,90.3,2004DZA
DZA,2005,90.97,2005DZA
DZA,2006,91.09,2006DZA
DZA,2007,91.56,2007DZA
DZA,2008,92.06,2008DZA
DZA,2009,92.42,2009DZA
DZA,2010,92.41,2010DZA
DZA,2011,92.49,2011DZA
DZA,2012,92.47,2012DZA
DZA,2013,92.83,2013DZA
DZA,2014,93.1,2014DZA
DZA,2015,92.7,2015DZA
DZA,2016,92.62,2016DZA
AND,2000,100,2000AND
AND,2001,100,2001AND
AND,2002,100,2002AND
AND,2003,100,2003AND
AND,2004,100,2004AND
AND,2005,100,2005AND
AND,2006,100,2006AND
AND,2007,100,2007AND
AND,2008,100,2008AND
AND,2009,100,2009AND
AND,2010,100,2010AND
AND,2011,100,2011AND
AND,2012,100,2012AND
AND,2013,100,2013AND
AND,2014,100,2014AND
AND,2015,100,2015AND
AND,2016,100,2016AND
AGO,2000,37.27,2000AGO
AGO,2001,37.96,2001AGO
AGO,2002,38.49,2002AGO
AGO,2003,39.24,2003AGO
AGO,2004,39.94,2004AGO
AGO,2005,40.75,2005AGO
AGO,2006,41.39,2006AGO
AGO,2007,41.91,2007AGO
AGO,2008,42.58,2008AGO
AGO,2009,43.32,2009AGO
AGO,2010,44.1,2010AGO
AGO,2011,44.8,2011AGO
AGO,2012,45.36,2012AGO
AGO,2013,46.15,2013AGO
AGO,2014,46.67,2014AGO
AGO,2015,47.36,2015AGO
AGO,2016,48.05,2016AGO
ATG,2000,96.66,2000ATG
ATG,2001,96.97,2001ATG
ATG,2002,97.2,2002ATG
ATG,2003,97.4,2003ATG
ATG,2004,97.57,2004ATG
ATG,2005,97.7,2005ATG
ATG,2006,97.9,2006ATG
ATG,2007,98.03,2007ATG
