Code,Year,Access to electricity (% of population),IDEL
AFG,1990,0.01,1990AFG
AFG,1991,0.01,1991AFG
AFG,1992,0.01,1992AFG
AFG,1993,0.01,1993AFG
AFG,1994,0.01,1994AFG
AFG,1995,0.01,1995AFG
AFG,1996,0.01,1996AFG
AFG,1997,0.01,1997AFG
AFG,1998,0.021977138,1998AFG
AFG,1999,0.179634586,1999AFG
AFG,2000,0.959755898,2000AFG
AFG,2001,0.776536942,2001AFG
AFG,2002,6.267393589,2002AFG
AFG,2003,11.75196648,2003AFG
AFG,2004,17.23631859,2004AFG
AFG,2005,23,2005AFG
AFG,2006,28.2286129,2006AFG
AFG,2007,33.74868011,2007AFG
AFG,2008,42.4,2008AFG
AFG,2009,44.8548851,2009AFG
AFG,2010,42.7,2010AFG
AFG,2011,43.22201891,2011AFG
AFG,2012,69.1,2012AFG
AFG,2013,67.259552,2013AFG
AFG,2014,89.5,2014AFG
AFG,2015,71.5,2015AFG
AFG,2016,84.13713837,2016AFG
ALB,1990,100,1990ALB
ALB,1991,100,1991ALB
ALB,1992,100,1992ALB
ALB,1993,100,1993ALB
ALB,1994,100,1994ALB
ALB,1995,100,1995ALB
ALB,1996,100,1996ALB
ALB,1997,100,1997ALB
ALB,1998,100,1998ALB
ALB,1999,100,1999ALB
ALB,2000,100,2000ALB
ALB,2001,100,2001ALB
ALB,2002,100,2002ALB
ALB,2003,100,2003ALB
ALB,2004,100,2004ALB
ALB,2005,100,2005ALB
ALB,2006,100,2006ALB
ALB,2007,100,2007ALB
ALB,2008,100,2008ALB
ALB,2009,100,2009ALB
ALB,2010,100,2010ALB
ALB,2011,100,2011ALB
ALB,2012,100,2012ALB
ALB,2013,100,2013ALB
ALB,2014,100,2014ALB
ALB,2015,100,2015ALB
ALB,2016,100,2016ALB
DZA,1990,98.27137756,1990DZA
DZA,1991,98.37776947,1991DZA
DZA,1992,98.48365784,1992DZA
DZA,1993,98.58647919,1993DZA
DZA,1994,98.68318939,1994DZA
DZA,1995,98.77071381,1995DZA
DZA,1996,98.8460083,1996DZA
DZA,1997,98.90600586,1997DZA
DZA,1998,98.94764709,1998DZA
DZA,1999,98.96788025,1999DZA
DZA,2000,98.96515656,2000DZA
DZA,2001,98.94402313,2001DZA
DZA,2002,98.91053772,2002DZA
DZA,2003,98.87077332,2003DZA
DZA,2004,98.83078766,2004DZA
DZA,2005,98.79664612,2005DZA
DZA,2006,98.77441406,2006DZA
DZA,2007,98.7701416,2007DZA
DZA,2008,99.3,2008DZA
DZA,2009,98.82767487,2009DZA
DZA,2010,98.88497162,2010DZA
DZA,2011,98.95729828,2011DZA
DZA,2012,98.76466047,2012DZA
DZA,2013,99.13498688,2013DZA
DZA,2014,99.23434448,2014DZA
DZA,2015,99.33670807,2015DZA
DZA,2016,99.43956757,2016DZA
AND,1990,100,1990AND
AND,1991,100,1991AND
AND,1992,100,1992AND
AND,1993,100,1993AND
AND,1994,100,1994AND
AND,1995,100,1995AND
AND,1996,100,1996AND
AND,1997,100,1997AND
AND,1998,100,1998AND
AND,1999,100,1999AND
AND,2000,100,2000AND
AND,2001,100,2001AND
AND,2002,100,2002AND
AND,2003,100,2003AND
AND,2004,100,2004AND
AND,2005,100,2005AND
AND,2006,100,2006AND
AND,2007,100,2007AND
AND,2008,100,2008AND
AND,2009,100,2009AND
AND,2010,100,2010AND
AND,2011,100,2011AND
AND,2012,100,2012AND
AND,2013,100,2013AND
AND,2014,100,2014AND
AND,2015,100,2015AND
AND,2016,100,2016AND
AGO,1990,11.39780807,1990AGO
AGO,1991,12.57937908,1991AGO
AGO,1992,13.76043987,1992AGO
AGO,1993,14.93844128,1993AGO
AGO,1994,16.11032486,1994AGO
AGO,1995,17.27303123,1995AGO
AGO,1996,18.42350197,1996AGO
AGO,1997,19.55867577,1997AGO
AGO,1998,20.67549515,1998AGO
AGO,1999,21.77090073,1999AGO
AGO,2000,22.84335518,2000AGO
AGO,2001,20,2001AGO
AGO,2002,24.93909454,2002AGO
AGO,2003,25.97450829,2003AGO
AGO,2004,27.00970078,2004AGO
AGO,2005,28.05073547,2005AGO
AGO,2006,29.10367584,2006AGO
AGO,2007,37.5,2007AGO
AGO,2008,31.268013,2008AGO
AGO,2009,32.38246918,2009AGO
AGO,2010,33.5149498,2010AGO
AGO,2011,34.6,2011AGO
AGO,2012,35.82196426,2012AGO
AGO,2013,36.99048996,2013AGO
AGO,2014,32,2014AGO
AGO,2015,42,2015AGO
AGO,2016,40.52060699,2016AGO
ATG,1990,85.12319946,1990ATG
ATG,1991,85.65510559,1991ATG
ATG,1992,86.18650055,1992ATG
ATG,1993,86.71483612,1993ATG
ATG,1994,87.23705292,1994ATG
ATG,1995,87.75009155,1995ATG
ATG,1996,88.25089264,1996ATG
ATG,1997,88.73640442,1997ATG
ATG,1998,89.20355225,1998ATG
ATG,1999,89.64929199,1999ATG
ATG,2000,90.07208252,2000ATG
ATG,2001,90.47645569,2001ATG
ATG,2002,90.8684845,2002ATG
ATG,2003,91.25423431,2003ATG
ATG,2004,91.63976288,2004ATG
ATG,2005,92.2,2005ATG
ATG,2006,92.43440247,2006ATG
ATG,2007,92.85564423,2007ATG
ATG,2008,93.29940796,2008ATG
ATG,2009,93.7641983,2009ATG
ATG,2010,94.24700928,2010ATG
ATG,2011,94.55201403,2011ATG
ATG,2012,95.25469208,2012ATG
ATG,2013,95.77355194,2013ATG
ATG,2014,96.29841614,2014ATG
ATG,2015,96.82629395,2015ATG
ATG,2016,97.35466766,2016ATG
,1990,74.38423904,1990
,1991,74.38222009,1991
,1992,74.31316029,1992
,1993,75.34932484,1993
,1994,75.78852169,1994
,1995,76.21413797,1995
,1996,77.20514987,1996
,1997,77.57372994,1997
,1998,78.39551105,1998
,1999,78.96553167,1999
,2000,78.76232978,2000
,2001,80.14925651,2001
,2002,80.35997843,2002
,2003,81.35478764,2003
,2004,82.66240234,2004
,2005,83.68757621,2005
,2006,85.80029613,2006
,2007,84.73572324,2007
,2008,85.43282681,2008
,2009,85.18981512,2009
,2010,86.13613365,2010
,2011,86.78268328,2011
,2012,87.28824394,2012
,2013,88.38970515,2013
,2014,88.07677414,2014
,2015,88.51796739,2015
,2016,88.76865402,2016
ARG,1990,90.64082336,1990ARG
ARG,1991,91.12367249,1991ARG
ARG,1992,91.60601807,1992ARG
ARG,1993,92.08530426,1993ARG
ARG,1994,92.55847168,1994ARG
ARG,1995,93.02246094,1995ARG
ARG,1996,93.47421265,1996ARG
ARG,1997,93.91067505,1997ARG
ARG,1998,94.3287735,1998ARG
ARG,1999,94.72546387,1999ARG
ARG,2000,95.09920502,2000ARG
ARG,2001,95.51106347,2001ARG
ARG,2002,95.79750824,2002ARG
ARG,2003,96.13420868,2003ARG
ARG,2004,96.47068024,2004ARG
ARG,2005,96.81299591,2005ARG
ARG,2006,97.16722107,2006ARG
ARG,2007,97.53941345,2007ARG
ARG,2008,97.93412781,2008ARG
ARG,2009,98.36336517,2009ARG
ARG,2010,98.82,2010ARG
ARG,2011,99.21616364,2011ARG
ARG,2012,99.58441162,2012ARG
ARG,2013,99.83712769,2013ARG
ARG,2014,99.95924377,2014ARG
ARG,2015,99.99520874,2015ARG
ARG,2016,100,2016ARG
ARM,1990,97.68037415,1990ARM
ARM,1991,97.85359192,1991ARM
ARM,1992,98.02389526,1992ARM
ARM,1993,98.19134521,1993ARM
ARM,1994,98.3526001,1994ARM
ARM,1995,98.50465393,1995ARM
ARM,1996,98.64447021,1996ARM
ARM,1997,98.76902771,1997ARM
ARM,1998,98.87550354,1998ARM
ARM,1999,98.96206665,1999ARM
ARM,2000,98.9,2000ARM
ARM,2001,100,2001ARM
ARM,2002,98,2002ARM
ARM,2003,99.14831543,2003ARM
ARM,2004,99.17969513,2004ARM
ARM,2005,99.8,2005ARM
ARM,2006,99.26573181,2006ARM
ARM,2007,99.33103943,2007ARM
ARM,2008,99.41564941,2008ARM
ARM,2009,99.51981354,2009ARM
ARM,2010,99.8,2010ARM
ARM,2011,99.76715088,2011ARM
ARM,2012,99.87887573,2012ARM
ARM,2013,99.95405579,2013ARM
ARM,2014,99.98897552,2014ARM
ARM,2015,100,2015ARM
ARM,2016,100,2016ARM
ABW,1990,88.44535065,1990ABW
ABW,1991,88.78084564,1991ABW
ABW,1992,89.11582947,1992ABW
ABW,1993,89.44775391,1993ABW
ABW,1994,89.77355957,1994ABW
ABW,1995,90.09018707,1995ABW
ABW,1996,90.39458466,1996ABW
ABW,1997,90.68367767,1997ABW
ABW,1998,90.954422,1998ABW
ABW,1999,91.20375061,1999ABW
ABW,2000,91.660398,2000ABW
ABW,2001,91.63809204,2001ABW
ABW,2002,91.83371735,2002ABW
ABW,2003,92.0230484,2003ABW
ABW,2004,92.21216583,2004ABW
ABW,2005,92.40711975,2005ABW
ABW,2006,92.61398315,2006ABW
ABW,2007,92.83882141,2007ABW
ABW,2008,93.08616638,2008ABW
ABW,2009,93.35454559,2009ABW
ABW,2010,93.35629215,2010ABW
ABW,2011,93.94237518,2011ABW
ABW,2012,94.2558136,2012ABW
ABW,2013,94.57826233,2013ABW
ABW,2014,94.90672302,2014ABW
ABW,2015,95.23818207,2015ABW
ABW,2016,95.57014465,2016ABW
AUS,1990,100,1990AUS
AUS,1991,100,1991AUS
AUS,1992,100,1992AUS
AUS,1993,100,1993AUS
AUS,1994,100,1994AUS
AUS,1995,100,1995AUS
AUS,1996,100,1996AUS
AUS,1997,100,1997AUS
AUS,1998,100,1998AUS
AUS,1999,100,1999AUS
AUS,2000,100,2000AUS
AUS,2001,100,2001AUS
AUS,2002,100,2002AUS
AUS,2003,100,2003AUS
AUS,2004,100,2004AUS
AUS,2005,100,2005AUS
AUS,2006,100,2006AUS
AUS,2007,100,2007AUS
AUS,2008,100,2008AUS
AUS,2009,100,2009AUS
AUS,2010,100,2010AUS
AUS,2011,100,2011AUS
AUS,2012,100,2012AUS
AUS,2013,100,2013AUS
AUS,2014,100,2014AUS
AUS,2015,100,2015AUS
AUS,2016,100,2016AUS
AUT,1990,100,1990AUT
AUT,1991,100,1991AUT
AUT,1992,100,1992AUT
AUT,1993,100,1993AUT
AUT,1994,100,1994AUT
AUT,1995,100,1995AUT
AUT,1996,100,1996AUT
AUT,1997,100,1997AUT
AUT,1998,100,1998AUT
AUT,1999,100,1999AUT
AUT,2000,100,2000AUT
AUT,2001,100,2001AUT
