Code,Year,Annual CO2 emissions,IDCoE
AFG,1949,0.014656,1949AFG
AFG,1950,0.084272,1950AFG
AFG,1951,0.0916,1951AFG
AFG,1952,0.0916,1952AFG
AFG,1953,0.106256,1953AFG
AFG,1954,0.106256,1954AFG
AFG,1955,0.153888,1955AFG
AFG,1956,0.1832,1956AFG
AFG,1957,0.29312,1957AFG
AFG,1958,0.32976,1958AFG
AFG,1959,0.38457142,1959AFG
AFG,1960,0.413884724,1960AFG
AFG,1961,0.490797705,1961AFG
AFG,1962,0.688594273,1962AFG
AFG,1963,0.706735977,1963AFG
AFG,1964,0.83855083,1964AFG
AFG,1965,1.006916534,1965AFG
AFG,1966,1.091158818,1966AFG
AFG,1967,1.281865114,1967AFG
AFG,1968,1.223390846,1968AFG
AFG,1969,0.941231977,1969AFG
AFG,1970,1.670396844,1970AFG
AFG,1971,1.893931409,1971AFG
AFG,1972,1.531165693,1972AFG
AFG,1973,1.637244658,1973AFG
AFG,1974,1.915676543,1974AFG
AFG,1975,2.124526705,1975AFG
AFG,1976,1.984225381,1976AFG
AFG,1977,2.386745667,1977AFG
AFG,1978,2.155415112,1978AFG
AFG,1979,2.234903935,1979AFG
AFG,1980,1.757018428,1980AFG
AFG,1981,1.979372528,1981AFG
AFG,1982,2.095539372,1982AFG
AFG,1983,2.520091418,1983AFG
AFG,1984,2.822407026,1984AFG
AFG,1985,3.501888889,1985AFG
AFG,1986,3.134071922,1986AFG
AFG,1987,3.114168775,1987AFG
AFG,1988,2.857083896,1988AFG
AFG,1989,2.76488789,1989AFG
AFG,1990,2.60240759,1990AFG
AFG,1991,2.426486156,1991AFG
AFG,1992,1.381521838,1992AFG
AFG,1993,1.333837109,1993AFG
AFG,1994,1.282457405,1994AFG
AFG,1995,1.231139652,1995AFG
AFG,1996,1.165134923,1996AFG
AFG,1997,1.084437075,1997AFG
AFG,1998,1.029422192,1998AFG
AFG,1999,0.809568737,1999AFG
AFG,2000,0.768195254,2000AFG
AFG,2001,0.812074374,2001AFG
AFG,2002,1.06407485,2002AFG
AFG,2003,1.205390592,2003AFG
AFG,2004,0.908479621,2004AFG
AFG,2005,1.32025012,2005AFG
AFG,2006,1.643258316,2006AFG
AFG,2007,2.268337713,2007AFG
AFG,2008,4.198329639,2008AFG
AFG,2009,6.760313492,2009AFG
AFG,2010,8.452222284,2010AFG
AFG,2011,12.22601738,2011AFG
AFG,2012,10.74205672,2012AFG
AFG,2013,9.03678229,2013AFG
AFG,2014,8.449877916,2014AFG
AFG,2015,9.019514264,2015AFG
AFG,2016,8.653350647,2016AFG
AFG,2017,8.971071536,2017AFG
AFG,2018,9.438789182,2018AFG
,1751,0,
,1752,0,
,1753,0,
,1754,0,
,1755,0,
,1756,0,
,1757,0,
,1758,0,
,1759,0,
,1760,0,
,1761,0,
,1762,0,
,1763,0,
,1764,0,
,1765,0,
,1766,0,
,1767,0,
,1768,0,
,1769,0,
,1770,0,
,1771,0,
,1772,0,
,1773,0,
,1774,0,
,1775,0,
,1776,0,
,1777,0,
,1778,0,
,1779,0,
,1780,0,
,1781,0,
,1782,0,
,1783,0,
,1784,0,
,1785,0,
,1786,0,
,1787,0,
,1788,0,
,1789,0,
,1790,0,
,1791,0,
,1792,0,
,1793,0,
,1794,0,
,1795,0,
,1796,0,
,1797,0,
,1798,0,
,1799,0,
,1800,0,
,1801,0,
,1802,0,
,1803,0,
,1804,0,
,1805,0,
,1806,0,
,1807,0,
,1808,0,
,1809,0,
,1810,0,
,1811,0,
,1812,0,
,1813,0,
,1814,0,
,1815,0,
,1816,0,
,1817,0,
,1818,0,
,1819,0,
,1820,0,
,1821,0,
,1822,0,
,1823,0,
,1824,0,
,1825,0,
,1826,0,
,1827,0,
,1828,0,
,1829,0,
,1830,0,
,1831,0,
,1832,0,
,1833,0,
,1834,0,
,1835,0,
,1836,0,
,1837,0,
,1838,0,
,1839,0,
,1840,0,
,1841,0,
,1842,0,
,1843,0,
,1844,0,
,1845,0,
,1846,0,
,1847,0,
,1848,0,
,1849,0,
,1850,0,
,1851,0,
,1852,0,
,1853,0,
,1854,0,
,1855,0,
,1856,0,
,1857,0,
,1858,0,
,1859,0,
,1860,0,
,1861,0,
,1862,0,
,1863,0,
,1864,0,
,1865,0,
,1866,0,
,1867,0,
,1868,0,
,1869,0,
,1870,0,
,1871,0,
,1872,0,
,1873,0,
,1874,0,
,1875,0,
,1876,0,
,1877,0,
,1878,0,
,1879,0,
,1880,0,
,1881,0,
,1882,0,
,1883,0,
,1884,0.021984,
,1885,0.03664,
,1886,0.047632,
,1887,0.047632,
,1888,0.080608,
,1889,0.131904,
,1890,0.296784,
,1891,0.296784,
,1892,0.479984,
,1893,1.799024,
,1894,2.432896,
,1895,3.337904,
,1896,4.257568,
,1897,4.777856,
,1898,6.049264,
,1899,5.517984,
,1900,2.330304,
,1901,3.909488,
,1902,5.82576,
,1903,7.89592,
,1904,8.910848,
,1905,10.262864,
,1906,11.717472,
,1907,12.930256,
,1908,13.402912,
,1909,15.385136,
,1910,17.411328,
,1911,16.865392,
,1912,17.9536,
,1913,19.606064,
,1914,19.551104,
,1915,19.606064,
,1916,23.255408,
,1917,25.343888,
,1918,24.724672,
,1919,25.442816,
,1920,28.051584,
,1921,27.985632,
,1922,23.969888,
,1923,29.044528,
,1924,30.63104,
,1925,32.184576,
,1926,34.437936,
,1927,33.840704,
,1928,34.77136,
,1929,35.804608,
,1930,33.697808,
,1931,29.465888,
,1932,26.626288,
,1933,28.494928,
,1934,32.543648,
,1935,35.914528,
,1936,39.0216,
,1937,41.850208,
,1938,44.019296,
,1939,46.858896,
,1940,49.654528,
,1941,54.029344,
,1942,58.829184,
,1943,60.12624,
,1944,66.640832,
,1945,67.534848,
,1946,68.16872,
,1947,67.945216,
,1948,71.744784,
,1949,77.336048,
,1950,87.250832,
,1951,93.124224,
,1952,101.25464,
,1953,102.544368,
,1954,107.128032,
,1955,117.48616,
,1956,121.930592,
,1957,127.950544,
,1958,137.465952,
,1959,147.9437148,
,1960,156.6733089,
,1961,162.1114929,
,1962,166.4666764,
,1963,176.4812948,
,1964,193.7931092,
,1965,213.8174807,
,1966,221.2908155,
,1967,237.2904975,
,1968,257.5349256,
,1969,278.1612857,
,1970,302.9425181,
,1971,332.2107667,
,1972,352.2526484,
,1973,378.4424003,
,1974,388.8973738,
,1975,387.8694613,
,1976,420.9095179,
,1977,433.7684179,
,1978,463.3461955,
,1979,500.0915225,
,1980,536.633906,
,1981,549.5275602,
,1982,572.7603914,
,1983,595.6132297,
,1984,650.4600814,
,1985,666.8745167,
,1986,690.9040822,
,1987,691.0134021,
,1988,726.2847353,
,1989,699.4772991,
,1990,658.1456513,
,1991,687.394815,
,1992,669.8674,
,1993,710.3431875,
,1994,721.1573174,
,1995,773.2315273,
,1996,783.9010344,
,1997,813.94206,
,1998,838.130286,
,1999,830.3843267,
,2000,891.3701416,
,2001,885.1877852,
,2002,890.4958106,
,2003,966.5776532,
,2004,1033.390326,
,2005,1051.692375,
,2006,1091.649244,
,2007,1134.625113,
,2008,1185.105895,
,2009,1196.466437,
,2010,1220.494175,
,2011,1250.925424,
,2012,1260.971595,
,2013,1277.276337,
,2014,1365.297815,
,2015,1330.236714,
,2016,1354.960916,
,2017,1370.140327,
,2018,1400.84121,
ALB,1933,0.007328,1933ALB
ALB,1934,0.007328,1934ALB
ALB,1935,0.01832,1935ALB
ALB,1936,0.12824,1936ALB
ALB,1937,0.296784,1937ALB
ALB,1938,0.34808,1938ALB
ALB,1939,0.432352,1939ALB
ALB,1940,0.692496,1940ALB
ALB,1941,0.626544,1941ALB
ALB,1942,0.743792,1942ALB
ALB,1943,0.461664,1943ALB
ALB,1944,0.153888,1944ALB
ALB,1945,0.120912,1945ALB
ALB,1946,0.483648,1946ALB
ALB,1947,0.926992,1947ALB
ALB,1948,0.703488,1948ALB
ALB,1949,1.014928,1949ALB
ALB,1950,0.296784,1950ALB
ALB,1951,0.40304,1951ALB
ALB,1952,0.373728,1952ALB
ALB,1953,0.414032,1953ALB
ALB,1954,0.501968,1954ALB
ALB,1955,0.663184,1955ALB
ALB,1956,0.839056,1956ALB
ALB,1957,1.505904,1957ALB
ALB,1958,1.201792,1958ALB
ALB,1959,1.443616,1959ALB
ALB,1960,2.022528,1960ALB
ALB,1961,2.279008,1961ALB
ALB,1962,2.462208,1962ALB
ALB,1963,2.081152,1963ALB
ALB,1964,2.0152,1964ALB
ALB,1965,2.172752,1965ALB
ALB,1966,2.550144,1966ALB
ALB,1967,2.678384,1967ALB
ALB,1968,3.070432,1968ALB
ALB,1969,3.24264,1969ALB
ALB,1970,3.740944,1970ALB
ALB,1971,4.349168,1971ALB
ALB,1972,5.638896,1972ALB
ALB,1973,5.287152,1973ALB
ALB,1974,4.34184,1974ALB
ALB,1975,4.590992,1975ALB
ALB,1976,4.9464,1976ALB
ALB,1977,5.71584,1977ALB
ALB,1978,6.488944,1978ALB
ALB,1979,7.580816,1979ALB
ALB,1980,5.16624,1980ALB
ALB,1981,7.335328,1981ALB
ALB,1982,7.302352,1982ALB
ALB,1983,7.624784,1983ALB
ALB,1984,7.818976,1984ALB
ALB,1985,7.873936,1985ALB
ALB,1986,8.049808,1986ALB
ALB,1987,7.43792,1987ALB
ALB,1988,7.320672,1988ALB
ALB,1989,8.9768,1989ALB
ALB,1990,5.510656,1990ALB
ALB,1991,4.283216,1991ALB
ALB,1992,2.513504,1992ALB
ALB,1993,2.333968,1993ALB
ALB,1994,1.9236,1994ALB
ALB,1995,2.084816,1995ALB
ALB,1996,2.0152,1996ALB
ALB,1997,1.542544,1997ALB
ALB,1998,1.751392,1998ALB
ALB,1999,2.982496,1999ALB
ALB,2000,3.019136,2000ALB
ALB,2001,3.220656,2001ALB
ALB,2002,3.748272,2002ALB
ALB,2003,4.290544,2003ALB
ALB,2004,4.162304,2004ALB
ALB,2005,4.25024,2005ALB
ALB,2006,3.894832,2006ALB
ALB,2007,3.924144,2007ALB
ALB,2008,4.371152,2008ALB
ALB,2009,4.374816,2009ALB
ALB,2010,4.594656,2010ALB
ALB,2011,5.235856,2011ALB
ALB,2012,4.920752,2012ALB
ALB,2013,4.90976,2013ALB
ALB,2014,5.485008,2014ALB
ALB,2015,4.612976,2015ALB
ALB,2016,4.532368,2016ALB
ALB,2017,4.65135038,2017ALB
ALB,2018,4.569963592,2018ALB
DZA,1900,0,1900DZA
DZA,1901,0,1901DZA
DZA,1902,0,1902DZA
DZA,1903,0,1903DZA
DZA,1904,0,1904DZA
DZA,1905,0,1905DZA
DZA,1916,0.003664,1916DZA
DZA,1917,0.007328,1917DZA
