Code,Year,Biofuels Production - PJ - Total,IDBfuelP
,1990,0.26084596,
,1991,0.26084596,
,1992,0.261560606,
,1993,0.26084596,
,1994,0.26084596,
,1995,0.26084596,
,1996,0.261560606,
,1997,0.391268939,
,1998,0.391268939,
,1999,0.26084596,
,2000,0.261560606,
,2001,0.26084596,
,2002,1.28361152,
,2003,1.804799616,
,2004,2.076610505,
,2005,2.266929159,
,2006,2.406844225,
,2007,2.53048238,
,2008,2.017030734,
,2009,11.96821735,
,2010,12.51500898,
,2011,13.60773202,
,2012,9.704480034,
,2013,9.917397476,
,2014,11.0549585,
,2015,14.96337158,
,2016,16.32280586,
,2017,17.00944799,
,2018,19.56317469,
,2019,20.85050336,
ARG,1990,0,1990ARG
ARG,1991,0,1991ARG
ARG,1992,0,1992ARG
ARG,1993,0,1993ARG
ARG,1994,0,1994ARG
ARG,1995,0,1995ARG
ARG,1996,0,1996ARG
ARG,1997,0,1997ARG
ARG,1998,0,1998ARG
ARG,1999,0,1999ARG
ARG,2000,0.191541726,2000ARG
ARG,2001,0.382036775,2001ARG
ARG,2002,0.382036775,2002ARG
ARG,2003,0.382036775,2003ARG
ARG,2004,0.383083451,2004ARG
ARG,2005,0.382036775,2005ARG
ARG,2006,1.276533305,2006ARG
ARG,2007,7.249027532,2007ARG
ARG,2008,25.61810927,2008ARG
ARG,2009,43.07431498,2009ARG
ARG,2010,71.61819922,2010ARG
ARG,2011,93.04133578,2011ARG
ARG,2012,95.40913451,2012ARG
ARG,2013,85.81926639,2013ARG
ARG,2014,110.103926,2014ARG
ARG,2015,84.46264035,2015ARG
ARG,2016,117.9658235,2016ARG
ARG,2017,130.4347328,2017ARG
ARG,2018,114.1323432,2018ARG
ARG,2019,102.7801037,2019ARG
,1990,0,
,1991,0,
,1992,0,
,1993,0,
,1994,0,
,1995,0,
,1996,0,
,1997,0,
,1998,0,
,1999,0,
,2000,3.792628788,
,2001,4.103707781,
,2002,10.92390641,
,2003,24.74127239,
,2004,24.99299057,
,2005,39.3701592,
,2006,63.82514084,
,2007,87.34264495,
,2008,139.2846189,
,2009,144.502927,
,2010,155.1828426,
,2011,248.0898513,
,2012,298.4256117,
,2013,356.7784437,
,2014,430.4620882,
,2015,360.6633908,
,2016,410.7755844,
,2017,425.7216141,
,2018,542.0163217,
,2019,655.8770122,
AUS,1990,0,1990AUS
AUS,1991,0,1991AUS
AUS,1992,0,1992AUS
AUS,1993,0,1993AUS
AUS,1994,0,1994AUS
AUS,1995,0,1995AUS
AUS,1996,0,1996AUS
AUS,1997,0,1997AUS
AUS,1998,0,1998AUS
AUS,1999,0,1999AUS
AUS,2000,0,2000AUS
AUS,2001,0,2001AUS
AUS,2002,0,2002AUS
AUS,2003,1.925928,2003AUS
AUS,2004,1.154505726,2004AUS
AUS,2005,1.135660775,2005AUS
AUS,2006,2.14571755,2006AUS
AUS,2007,4.184152713,2007AUS
AUS,2008,6.74803553,2008AUS
AUS,2009,9.706162686,2009AUS
AUS,2010,7.570894686,2010AUS
AUS,2011,9.15899155,2011AUS
AUS,2012,9.697790896,2012AUS
AUS,2013,10.2420749,2013AUS
AUS,2014,10.75719792,2014AUS
AUS,2015,9.512706461,2015AUS
AUS,2016,8.064649278,2016AUS
AUS,2017,5.336006911,2017AUS
AUS,2018,6.298970911,2018AUS
AUS,2019,6.698002102,2019AUS
AUT,1990,0.2637684,1990AUT
AUT,1991,0.2888892,1991AUT
AUT,1992,0.3223836,1992AUT
AUT,1993,0.3642516,1993AUT
AUT,1994,0.2428344,1994AUT
