Code,Year,Consumption of Ozone-Depleting Substances ,IDCODS
AFG,1989,0.9,1989AFG
AFG,1991,0,1991AFG
AFG,1995,381.9,1995AFG
AFG,1996,381.9,1996AFG
AFG,1997,381.9,1997AFG
AFG,1998,0.9,1998AFG
AFG,1999,0.9,1999AFG
AFG,2000,0.9,2000AFG
AFG,2004,181.5,2004AFG
AFG,2005,145.4,2005AFG
AFG,2006,99.4,2006AFG
AFG,2007,61.3,2007AFG
AFG,2008,47.9,2008AFG
AFG,2009,49.2,2009AFG
AFG,2010,24.9,2010AFG
AFG,2011,24.04,2011AFG
AFG,2012,17.34,2012AFG
AFG,2013,17.7,2013AFG
,1989,37958,
,1991,19073.6,
,1993,24550.1,
,1994,18480.1,
,1995,20318.2,
,1996,21257.6,
,1997,20346.8,
,1998,21756.2,
,1999,17789.7,
,2000,17724.9,
,2001,17928.4,
,2002,15744,
,2003,13653.6,
,2004,11199,
,2005,7524.5,
,2006,5306.5,
,2007,3410.9,
,2008,3248.8,
,2009,3403.8,
,2010,3062.36,
,2011,2734.09,
,2012,2703.41,
,2013,1993,
ALB,1989,43.8,1989ALB
ALB,1991,0,1991ALB
ALB,1995,43.4,1995ALB
ALB,1996,43.2,1996ALB
ALB,1997,45.2,1997ALB
ALB,1998,49.6,1998ALB
ALB,1999,56.2,1999ALB
ALB,2000,65.1,2000ALB
ALB,2001,70.2,2001ALB
ALB,2002,50.5,2002ALB
ALB,2003,38,2003ALB
ALB,2004,36.6,2004ALB
ALB,2005,14.3,2005ALB
ALB,2006,15.2,2006ALB
ALB,2007,6.6,2007ALB
ALB,2008,4.1,2008ALB
ALB,2009,5.4,2009ALB
ALB,2010,6.5,2010ALB
ALB,2011,6.49,2011ALB
ALB,2012,6.59,2012ALB
ALB,2013,5.67,2013ALB
DZA,1989,3606.5,1989DZA
DZA,1991,0.6,1991DZA
DZA,1993,2364.8,1993DZA
DZA,1994,2342.9,1994DZA
DZA,1995,2519.9,1995DZA
DZA,1996,2653.5,1996DZA
DZA,1997,2008.5,1997DZA
DZA,1998,1783.5,1998DZA
DZA,1999,1736.5,1999DZA
DZA,2000,1703.5,2000DZA
DZA,2001,1225.3,2001DZA
DZA,2002,1965.3,2002DZA
DZA,2003,1965.3,2003DZA
DZA,2004,1141.4,2004DZA
DZA,2005,955.4,2005DZA
DZA,2006,428.6,2006DZA
DZA,2007,318,2007DZA
DZA,2008,272.4,2008DZA
DZA,2009,174.35,2009DZA
DZA,2010,65.68,2010DZA
DZA,2011,69.12,2011DZA
DZA,2012,58.36,2012DZA
DZA,2013,51.97,2013DZA
DZA,2014,53.66,2014DZA
AND,1989,57.2,1989AND
AND,1991,0,1991AND
AND,2009,1.9,2009AND
AND,2010,0,2010AND
AND,2011,0,2011AND
AND,2012,0,2012AND
AND,2013,0,2013AND
AND,2014,0,2014AND
AGO,1989,120.4,1989AGO
AGO,1991,0,1991AGO
AGO,1995,114.8,1995AGO
AGO,1996,114.8,1996AGO
AGO,1997,114.8,1997AGO
AGO,1998,115.9,1998AGO
AGO,2000,107,2000AGO
AGO,2001,119.8,2001AGO
AGO,2002,110,2002AGO
AGO,2003,109.7,2003AGO
AGO,2004,82.2,2004AGO
AGO,2005,59.2,2005AGO
AGO,2006,42.1,2006AGO
AGO,2007,17,2007AGO
AGO,2008,20.2,2008AGO
AGO,2009,35.3,2009AGO
AGO,2010,12.7,2010AGO
AGO,2011,11.55,2011AGO
AGO,2012,6.6,2012AGO
AGO,2013,15.43,2013AGO
AGO,2014,13.21,2014AGO
ATG,1989,432.5,1989ATG
ATG,1990,425.5,1990ATG
ATG,1991,430.2,1991ATG
ATG,1992,432.9,1992ATG
ATG,1993,428.5,1993ATG
ATG,1994,12.9,1994ATG
ATG,1995,11.9,1995ATG
ATG,1996,10.7,1996ATG
ATG,1997,10.3,1997ATG
ATG,1998,27.7,1998ATG
ATG,1999,-1.6,1999ATG
ATG,2000,5.1,2000ATG
ATG,2001,3.3,2001ATG
ATG,2002,4,2002ATG
ATG,2003,1.7,2003ATG
ATG,2004,2.6,2004ATG
ATG,2005,1.7,2005ATG
ATG,2006,1.6,2006ATG
ATG,2007,0.9,2007ATG
ATG,2008,0.3,2008ATG
ATG,2009,0.5,2009ATG
ATG,2010,0.1,2010ATG
ATG,2011,0.38,2011ATG
ATG,2012,0.11,2012ATG
ATG,2013,0.22,2013ATG
,1989,7921.3,
,1991,1217.3,
,1995,8916,
,1996,7461.7,
,1997,6615,
,1998,6578.1,
,1999,5310.7,
,2000,5036,
,2001,4947.2,
,2002,4647.1,
,2003,3806.1,
,2004,3872.7,
,2005,3208.8,
,2006,3247.6,
,2007,3093.5,
,2008,3171.3,
,2009,3116.5,
,2010,2997.29,
,2011,3098.44,
,2012,3393.11,
,2013,2680.73,
ARG,1989,9038.2,1989ARG
ARG,1990,1514,1990ARG
ARG,1991,9912.3,1991ARG
ARG,1992,10085.8,1992ARG
ARG,1993,4380.5,1993ARG
ARG,1994,7082.1,1994ARG
ARG,1995,10042.5,1995ARG
ARG,1996,4949.5,1996ARG
ARG,1997,4369,1997ARG
ARG,1998,4374.9,1998ARG
ARG,1999,4957,1999ARG
ARG,2000,3383,2000ARG
ARG,2001,3841,2001ARG
ARG,2002,2386,2002ARG
ARG,2003,2835.5,2003ARG
ARG,2004,2784.1,2004ARG
ARG,2005,2208.6,2005ARG
ARG,2006,2215.5,2006ARG
ARG,2007,1199.7,2007ARG
ARG,2008,654.8,2008ARG
ARG,2009,395.4,2009ARG
ARG,2010,780.8,2010ARG
ARG,2011,831.16,2011ARG
ARG,2012,855.29,2012ARG
ARG,2013,497.7,2013ARG
ARM,1989,0,1989ARM
ARM,1991,0,1991ARM
ARM,1995,201.8,1995ARM
ARM,1996,196.5,1996ARM
ARM,1997,191.2,1997ARM
ARM,1998,185.9,1998ARM
ARM,1999,9.8,1999ARM
ARM,2000,25.7,2000ARM
ARM,2001,164.4,2001ARM
ARM,2002,174.4,2002ARM
ARM,2003,174.4,2003ARM
ARM,2004,114.6,2004ARM
ARM,2005,87,2005ARM
ARM,2006,62.8,2006ARM
ARM,2007,29.4,2007ARM
ARM,2008,18.4,2008ARM
ARM,2009,24.9,2009ARM
ARM,2010,7.1,2010ARM
ARM,2011,7.5,2011ARM
ARM,2012,5.67,2012ARM
ARM,2013,4.54,2013ARM
ARM,2014,3.15,2014ARM
,1989,446934.3,
,1990,211206.9,
,1991,277404.6,
,1992,300265.9,
,1993,271444.2,
,1994,199695.7,
,1995,213362.6,
,1996,153008.6,
,1997,165216.5,
,1998,225850.4,
,1999,168315.2,
,2000,157349.6,
,2001,124753.1,
,2002,105325.6,
,2003,107628.2,
,2004,76641.2,
,2005,54106.8,
,2006,49882.8,
,2007,38833.2,
,2008,29669.8,
,2009,30417.5,
,2010,29457.8,
,2011,28425.45,
,2012,29124.45,
,2013,21592.75,
AUS,1989,15300.8,1989AUS
AUS,1990,7434.4,1990AUS
AUS,1991,8147.8,1991AUS
AUS,1992,7017.5,1992AUS
AUS,1993,4615.7,1993AUS
AUS,1994,4242.1,1994AUS
AUS,1995,3120,1995AUS
AUS,1996,826.9,1996AUS
AUS,1997,602.9,1997AUS
AUS,1998,770.7,1998AUS
AUS,1999,831.9,1999AUS
AUS,2000,484.6,2000AUS
AUS,2001,360.8,2001AUS
AUS,2002,389.7,2002AUS
AUS,2003,278.9,2003AUS
AUS,2004,189.8,2004AUS
AUS,2005,171,2005AUS
AUS,2006,69.4,2006AUS
AUS,2007,86.6,2007AUS
AUS,2008,68.4,2008AUS
AUS,2009,57.2,2009AUS
AUS,2010,-6.4,2010AUS
AUS,2011,46.81,2011AUS
AUS,2012,-33.51,2012AUS
AUS,2013,48.62,2013AUS
AUS,2014,10.1,2014AUS
,1989,17545.7,
,1990,8629.8,
,1991,8984.4,
,1992,7739.3,
,1993,5474.8,
,1994,4701.7,
,1995,3442.9,
,1996,925.6,
,1997,682.8,
,1998,820.2,
,1999,900,
,2000,503.8,
,2001,393.2,
,2002,432.5,
,2003,314.2,
,2004,222.4,
,2005,219.6,
,2006,109.6,
,2007,119.9,
,2008,86.2,
,2009,74.7,
,2010,5.2,
,2011,58.31,
,2012,-28.04,
,2013,56.82,
,2014,10.1,
AUT,1989,6705.5,1989AUT
AUT,1990,2004.4,1990AUT
AUT,1991,1896.7,1991AUT
AUT,1992,1710.2,1992AUT
AUT,1993,641.1,1993AUT
AUT,1994,1000.9,1994AUT
AZE,1989,482.1,1989AZE
AZE,1991,2.8,1991AZE
AZE,1996,962.9,1996AZE
AZE,1997,227.5,1997AZE
AZE,1998,152.4,1998AZE
AZE,1999,100.7,1999AZE
AZE,2000,88.2,2000AZE
AZE,2001,52.1,2001AZE
AZE,2002,12.1,2002AZE
AZE,2003,10.2,2003AZE
AZE,2004,15.1,2004AZE
AZE,2005,21.9,2005AZE
AZE,2006,0.9,2006AZE
AZE,2007,0.8,2007AZE
AZE,2008,0.8,2008AZE
AZE,2009,3.5,2009AZE
AZE,2010,0.3,2010AZE
AZE,2011,7.63,2011AZE
AZE,2012,3.52,2012AZE
AZE,2013,1.76,2013AZE
BHS,1989,57.3,1989BHS
BHS,1991,0,1991BHS
BHS,1992,2.4,1992BHS
BHS,1993,65.8,1993BHS
BHS,1994,68.1,1994BHS
BHS,1995,69.9,1995BHS
BHS,1996,72,1996BHS
BHS,1997,54.8,1997BHS
BHS,1998,59.4,1998BHS
BHS,1999,60.4,1999BHS
BHS,2000,70.3,2000BHS
BHS,2001,68.9,2001BHS
BHS,2002,58.4,2002BHS
BHS,2003,35.1,2003BHS
BHS,2004,23.8,2004BHS
BHS,2005,18.6,2005BHS
BHS,2006,8.9,2006BHS
BHS,2007,5.8,2007BHS
BHS,2008,3.9,2008BHS
BHS,2009,3.5,2009BHS
BHS,2010,6.1,2010BHS
BHS,2011,3.05,2011BHS
BHS,2012,2.73,2012BHS
BHS,2013,2.72,2013BHS
BHR,1989,153.2,1989BHR
BHR,1990,178.8,1990BHR
BHR,1991,161.1,1991BHR
BHR,1992,230.8,1992BHR
BHR,1993,187,1993BHR
BHR,1994,200.9,1994BHR
BHR,1995,209.5,1995BHR
BHR,1996,234.2,1996BHR
BHR,1997,258.7,1997BHR
BHR,1998,221.1,1998BHR
BHR,1999,186.4,1999BHR
BHR,2000,178.2,2000BHR
BHR,2001,149.3,2001BHR
BHR,2002,138.1,2002BHR
BHR,2003,125.8,2003BHR
BHR,2004,85.3,2004BHR
BHR,2005,85.7,2005BHR
BHR,2006,61.1,2006BHR
BHR,2007,43.4,2007BHR
BHR,2008,50.5,2008BHR
BHR,2009,55.6,2009BHR
BHR,2010,58.7,2010BHR
BHR,2011,57.32,2011BHR
BHR,2012,75.59,2012BHR
BHR,2013,49.6,2013BHR
BGD,1989,207.9,1989BGD
BGD,1990,202.1,1990BGD
BGD,1991,94.9,1991BGD
BGD,1992,216.3,1992BGD
BGD,1993,229.2,1993BGD
BGD,1994,195.4,1994BGD
BGD,1995,291.3,1995BGD
BGD,1996,633.7,1996BGD
BGD,1997,840.8,1997BGD
BGD,1998,840.6,1998BGD
BGD,1999,814.8,1999BGD
BGD,2000,816.4,2000BGD
BGD,2001,826.9,2001BGD
BGD,2002,350.1,2002BGD
BGD,2003,340.6,2003BGD
BGD,2004,310.1,2004BGD
BGD,2005,277.5,2005BGD
BGD,2006,217.5,2006BGD
BGD,2007,192.7,2007BGD
BGD,2008,223.1,2008BGD
BGD,2009,195.9,2009BGD
BGD,2010,125.5,2010BGD
BGD,2011,136.42,2011BGD
BGD,2012,66.47,2012BGD
BGD,2013,64.89,2013BGD
BRB,1989,31.1,1989BRB
BRB,1990,25.5,1990BRB
BRB,1991,28.9,1991BRB
BRB,1992,24.5,1992BRB
BRB,1993,36.2,1993BRB
BRB,1994,37,1994BRB
BRB,1995,26.4,1995BRB
BRB,1996,24.2,1996BRB
BRB,1997,19.1,1997BRB
BRB,1998,25.2,1998BRB
BRB,1999,22.5,1999BRB
BRB,2000,9.8,2000BRB
BRB,2001,14.2,2001BRB
BRB,2002,12.1,2002BRB
BRB,2003,11.5,2003BRB
BRB,2004,16.7,2004BRB
BRB,2005,9.3,2005BRB
BRB,2006,10.5,2006BRB
BRB,2007,4.8,2007BRB
BRB,2008,3.6,2008BRB
BRB,2009,5.1,2009BRB
BRB,2010,2.3,2010BRB
BRB,2011,2.65,2011BRB
BRB,2012,2.66,2012BRB
BRB,2013,2.3,2013BRB
BRB,2014,1.23,2014BRB
BLR,1989,2024.7,1989BLR
BLR,1990,1549,1990BLR
BLR,1991,1445.9,1991BLR
BLR,1992,1156.6,1992BLR
BLR,1993,1156.2,1993BLR
BLR,1994,1005.9,1994BLR
BLR,1995,595.3,1995BLR
BLR,1996,599.2,1996BLR
BLR,1997,419.4,1997BLR
BLR,1998,278.3,1998BLR
BLR,1999,208.2,1999BLR
BLR,2000,16.8,2000BLR
BLR,2001,9.3,2001BLR
BLR,2002,2.7,2002BLR
BLR,2003,4.5,2003BLR
BLR,2004,3.1,2004BLR
BLR,2005,0.6,2005BLR
BLR,2006,1.3,2006BLR
BLR,2007,0.8,2007BLR
BLR,2008,0.4,2008BLR
BLR,2009,10.4,2009BLR
BLR,2010,10,2010BLR
BLR,2011,9.02,2011BLR
BLR,2012,8.05,2012BLR
BLR,2013,6.95,2013BLR
BLR,2014,5.56,2014BLR
BLZ,1989,20.1,1989BLZ
BLZ,1991,0,1991BLZ
BLZ,1995,22.9,1995BLZ
BLZ,1996,25,1996BLZ
BLZ,1997,27.2,1997BLZ
BLZ,1998,25.7,1998BLZ
BLZ,1999,51.5,1999BLZ
BLZ,2000,15.7,2000BLZ
BLZ,2001,28.8,2001BLZ
BLZ,2002,21.7,2002BLZ
BLZ,2003,15.1,2003BLZ
BLZ,2004,12.2,2004BLZ
BLZ,2005,9.6,2005BLZ
BLZ,2006,3.9,2006BLZ
BLZ,2007,3.2,2007BLZ
BLZ,2008,1.8,2008BLZ
BLZ,2009,2.5,2009BLZ
BLZ,2010,3.1,2010BLZ
BLZ,2011,1.94,2011BLZ
BLZ,2012,2.58,2012BLZ
BLZ,2013,2.43,2013BLZ
BLZ,2014,2.42,2014BLZ
BEN,1989,83.4,1989BEN
BEN,1990,60.8,1990BEN
BEN,1991,40.3,1991BEN
BEN,1992,47,1992BEN
BEN,1993,48.8,1993BEN
BEN,1994,48.8,1994BEN
BEN,1995,73.5,1995BEN
BEN,1996,59,1996BEN
BEN,1997,60.3,1997BEN
BEN,1998,54.9,1998BEN
BEN,1999,57.3,1999BEN
BEN,2000,55.2,2000BEN
BEN,2001,54.5,2001BEN
BEN,2002,36,2002BEN
BEN,2003,17.8,2003BEN
BEN,2004,11.8,2004BEN
BEN,2005,10.3,2005BEN
BEN,2006,32.6,2006BEN
BEN,2007,27.9,2007BEN
BEN,2008,26.9,2008BEN
BEN,2009,27.1,2009BEN
BEN,2010,24,2010BEN
BEN,2011,23.75,2011BEN
BEN,2012,23.3,2012BEN
BEN,2013,22.15,2013BEN
BTN,1989,0,1989BTN
BTN,1991,0,1991BTN
BTN,1995,0.1,1995BTN
BTN,1996,0.2,1996BTN
BTN,1997,1,1997BTN
BTN,1998,0,1998BTN
BTN,1999,0,1999BTN
BTN,2000,0,2000BTN
BTN,2004,0.1,2004BTN
BTN,2005,0.1,2005BTN
BTN,2006,0.1,2006BTN
BTN,2007,0.1,2007BTN
BTN,2008,0.1,2008BTN
BTN,2009,0.3,2009BTN
BTN,2010,0.3,2010BTN
BTN,2011,0.28,2011BTN
BTN,2012,0.31,2012BTN
BTN,2013,0.28,2013BTN
BTN,2014,0.25,2014BTN
BOL,1989,22.6,1989BOL
BOL,1991,15.9,1991BOL
BOL,1994,76.7,1994BOL
BOL,1995,82.3,1995BOL
BOL,1996,92.5,1996BOL
BOL,1997,60.7,1997BOL
BOL,1998,77.1,1998BOL
BOL,1999,74.2,1999BOL
BOL,2000,80.7,2000BOL
BOL,2001,80.2,2001BOL
BOL,2002,67.4,2002BOL
BOL,2003,35.2,2003BOL
BOL,2004,45.8,2004BOL
BOL,2005,29.6,2005BOL
BOL,2006,36.4,2006BOL
BOL,2007,6.6,2007BOL
BOL,2008,8.6,2008BOL
BOL,2009,4.4,2009BOL
BOL,2010,7.7,2010BOL
BOL,2011,7.5,2011BOL
BOL,2012,6.79,2012BOL
BOL,2013,0.37,2013BOL
BIH,1989,245.6,1989BIH
BIH,1990,14,1990BIH
BIH,1991,159.3,1991BIH
BIH,1992,22.5,1992BIH
BIH,1993,18,1993BIH
BIH,1994,9.9,1994BIH
BIH,1995,9.5,1995BIH
BIH,1996,29,1996BIH
BIH,1997,65.3,1997BIH
BIH,1998,50.3,1998BIH
BIH,1999,159.4,1999BIH
BIH,2000,185,2000BIH
BIH,2001,214.3,2001BIH
BIH,2002,259.2,2002BIH
BIH,2003,247.6,2003BIH
BIH,2004,202.1,2004BIH
BIH,2005,61.7,2005BIH
BIH,2006,36.6,2006BIH
BIH,2007,27.6,2007BIH
BIH,2008,16.4,2008BIH
BIH,2009,5.8,2009BIH
BIH,2010,3.5,2010BIH
BIH,2011,3.35,2011BIH
BIH,2012,4.06,2012BIH
BIH,2013,5.13,2013BIH
BIH,2014,3.37,2014BIH
BWA,1989,6.3,1989BWA
BWA,1991,0,1991BWA
BWA,1992,21.6,1992BWA
BWA,1993,36.8,1993BWA
