Code,Year,Deaths - Exposure to forces of nature %,Deaths - Under 5 ,Deaths -  Age: 5-14 years ,Deaths - Age: 15-49 years ,Deaths - Age: 50-69 years,Deaths - Age: 70+ years ,Deaths - No access to handwashing facility ,Deaths - Smoking,Deaths - Secondhand smoke,Deaths - Unsafe water source ,Deaths - Household air pollution from solid fuels ,Deaths - Air pollution ,Deaths Outdoor air pollution,IDDeath
AFG,1990,0,88780.23683,4777.766248,23344.53023,43161.97235,35999.59247,5412.314513,6393.667372,4234.808095,7554.049543,22388.49723,26598.00673,4383.83,1990AFG
AFG,1996,0.026005453,142920.9897,6348.192849,35424.52444,46658.24299,38269.75485,8610.686857,7040.420959,5595.951368,12154.94232,29407.3216,34952.10158,5739.07,1996AFG
AFG,2001,0.00151597,132403.2092,8625.369804,37711.33351,45775.08539,39743.44018,7501.548129,7516.431973,5600.963935,10431.36444,27721.64126,33084.89881,5569.97,2001AFG
AFG,2000,0,136387.2856,8142.917045,37107.27026,45789.48766,39417.1098,7910.366272,7409.526289,5641.046971,11121.65328,28329.38009,33714.05609,5587.68,2000AFG
AFG,1999,0.025518081,144460.6822,7719.944526,36763.70951,46603.55795,39160.21576,8502.72999,7356.558353,5774.819639,11990.39633,29484.61222,35040.34951,5756.43,1999AFG
AFG,1998,2.452563197,148915.6589,9666.911672,44775.76186,48096.18944,39345.50411,8621.884918,7266.191855,5762.014505,12133.60954,29807.45321,35360.16887,5751.54,1998AFG
AFG,1997,0.063217581,146433.6428,7126.161115,37989.64343,46999.92642,38647.9854,8722.943079,7155.470207,5701.811908,12329.13171,29674.39831,35306.56659,5828.94,1997AFG
AFG,1994,0.061584748,132221.8747,6498.172653,37316.09998,46392.31178,37787.7284,8051.515953,6889.328118,5292.379854,11409.17711,28013.1672,33323.1614,5499.23,1994AFG
AFG,2003,0.053646364,125469.4451,8689.140905,38263.90702,43899.44388,39524.01681,8214.45999,7611.786762,5915.145053,11510.49271,28325.88681,34229.4766,6111.07,2003AFG
AFG,1993,0.046547556,115547.9502,5800.860692,32873.28675,45309.40976,37115.5858,7104.620351,6731.97256,4863.558517,10270.73138,25599.75628,30495.5615,5080.29,1993AFG
