Code,Year,Geothermal Capacity,IDGEOT
,1990,45,
,1995,45,
,2000,65.3,
,2001,65.3,
,2002,65.3,
,2003,65.3,
,2004,135.3,
,2005,135.3,
,2006,135.3,
,2007,135.3,
,2008,135.3,
,2009,170.3,
,2010,205.3,
,2011,205.3,
,2012,212.8,
,2013,212.8,
,2014,373.4,
,2015,626.2,
,2016,670.2,
,2017,680.2,
,2018,670.3,
,2019,830.3,
,1990,1393.4,
,1995,1859.5,
,2000,3344.7,
,2001,3603.7,
,2002,3559.7,
,2003,3592.6,
,2004,3607.6,
,2005,3722.7,
,2006,3719.6,
,2007,3887.6,
,2008,4104.7,
,2009,4284.7,
,2010,4384,
,2011,4423.1,
,2012,4508.1,
,2013,4597.4,
,2014,4833.95,
,2015,4893.75,
,2016,5108.75,
,2017,5228.75,
,2018,5402.68,
,2019,5631.51,
,2000,23,
,2001,21,
,2002,70,
,2003,70,
,2004,56,
,2005,79,
,2006,87,
,2007,90,
,2008,80,
,2009,81,
,2010,81,
,2011,81,
,2012,81,
,2013,79,
,2014,78,
,2015,78,
,2016,78,
,2017,78,
,2018,78,
,2019,74,
CHL,1990,0,1990CHL
CHL,1995,0,1995CHL
CHL,2000,0,2000CHL
CHL,2001,0,2001CHL
CHL,2002,0,2002CHL
CHL,2003,0,2003CHL
CHL,2004,0,2004CHL
CHL,2005,0,2005CHL
CHL,2006,0,2006CHL
CHL,2007,0,2007CHL
CHL,2008,0,2008CHL
CHL,2009,0,2009CHL
CHL,2010,0,2010CHL
CHL,2011,0,2011CHL
CHL,2012,0,2012CHL
CHL,2013,0,2013CHL
CHL,2014,0,2014CHL
CHL,2015,0,2015CHL
CHL,2016,0,2016CHL
CHL,2017,24,2017CHL
CHL,2018,48,2018CHL
CHL,2019,39.7,2019CHL
CHN,1990,29.3,1990CHN
CHN,1995,26.3,1995CHN
CHN,2000,21.7,2000CHN
CHN,2001,21.7,2001CHN
CHN,2002,21.7,2002CHN
CHN,2003,21.7,2003CHN
CHN,2004,21.7,2004CHN
CHN,2005,21.7,2005CHN
CHN,2006,21.7,2006CHN
CHN,2007,21.7,2007CHN
CHN,2008,24.8,2008CHN
CHN,2009,24.8,2009CHN
CHN,2010,24.1,2010CHN
CHN,2011,26.2,2011CHN
CHN,2012,26.2,2012CHN
CHN,2013,26,2013CHN
CHN,2014,25.95,2014CHN
CHN,2015,25.75,2015CHN
CHN,2016,25.75,2016CHN
CHN,2017,25.75,2017CHN
CHN,2018,25.75,2018CHN
CHN,2019,25.75,2019CHN
CRI,1990,0,1990CRI
CRI,1995,55,1995CRI
CRI,2000,145,2000CRI
CRI,2001,145,2001CRI
CRI,2002,144.7,2002CRI
CRI,2003,162.7,2003CRI
CRI,2004,165.7,2004CRI
CRI,2005,165.7,2005CRI
CRI,2006,165.7,2006CRI
CRI,2007,165.7,2007CRI
