Code,Year,Consumption Geo Biomass Other - TWh,Consumption Hydro Generation - TWh,Consumption Solar Generation - TWh,Consumption Wind Generation -TWh,IDRE
DZA,1965,0,0.4,0,0,1965DZA
DZA,1966,0,0.355,0,0,1966DZA
DZA,1967,0,0.41,0,0,1967DZA
DZA,1968,0,0.563,0,0,1968DZA
DZA,1969,0,0.361,0,0,1969DZA
DZA,1970,0,0.58,0,0,1970DZA
DZA,1971,0,0.33,0,0,1971DZA
DZA,1972,0,0.495,0,0,1972DZA
DZA,1973,0,0.752,0,0,1973DZA
DZA,1974,0,0.497,0,0,1974DZA
DZA,1975,0,0.328,0,0,1975DZA
DZA,1976,0,0.389,0,0,1976DZA
DZA,1977,0,0.269,0,0,1977DZA
DZA,1978,0,0.25,0,0,1978DZA
DZA,1979,0,0.291,0,0,1979DZA
DZA,1980,0,0.257,0,0,1980DZA
DZA,1981,0,0.366,0,0,1981DZA
DZA,1982,0,0.479,0,0,1982DZA
DZA,1983,0,0.235,0,0,1983DZA
DZA,1984,0,0.452,0,0,1984DZA
DZA,1985,0,0.646,0,0,1985DZA
DZA,1986,0,0.25,0,0,1986DZA
DZA,1987,0,0.499,0,0,1987DZA
DZA,1988,0,0.183,0,0,1988DZA
DZA,1989,0,0.226,0,0,1989DZA
DZA,1990,0,0.135,0,0,1990DZA
DZA,1991,0,0.293,0,0,1991DZA
DZA,1992,0,0.199,0,0,1992DZA
DZA,1993,0,0.353,0,0,1993DZA
DZA,1994,0,0.166,0,0,1994DZA
DZA,1995,0,0.193,0,0,1995DZA
DZA,1996,0,0.135,0,0,1996DZA
DZA,1997,0,0.075,0,0,1997DZA
DZA,1998,0,0.215,0,0,1998DZA
DZA,1999,0,0.203,0,0,1999DZA
DZA,2000,0,0.054,0,0,2000DZA
DZA,2001,0,0.069,0,0,2001DZA
DZA,2002,0,0.057,0,0,2002DZA
DZA,2003,0,0.265,0,0,2003DZA
DZA,2004,0,0.251,0,0,2004DZA
DZA,2005,0,0.5553,0,0,2005DZA
DZA,2006,0,0.2176,0,0,2006DZA
DZA,2007,0,0.226,0,0,2007DZA
DZA,2008,0,0.283,0,0,2008DZA
DZA,2009,0,0.342,0,0,2009DZA
DZA,2010,0,0.173,0.0091,0,2010DZA
DZA,2011,0,0.378,0.01811875,0,2011DZA
DZA,2012,0,0.389,0.026723014,0,2012DZA
DZA,2013,0,0.099,0.0286,0,2013DZA
DZA,2014,0,0.193,0.06,0.001,2014DZA
DZA,2015,0,0.145,0.058,0.019,2015DZA
DZA,2016,0,0.072,0.245,0.019052055,2016DZA
DZA,2017,0,0.056,0.504,0.019,2017DZA
DZA,2018,0,0.117,0.603,0.01,2018DZA
DZA,2019,0,0.1515,0.615,0.01,2019DZA
ARG,1965,0,1.225,0,0,1965ARG
ARG,1966,0,1.241,0,0,1966ARG
ARG,1967,0,1.271,0,0,1967ARG
ARG,1968,0,1.498,0,0,1968ARG
ARG,1969,0,1.344,0,0,1969ARG
ARG,1970,0.047540991,1.555,0,0,1970ARG
ARG,1971,0.049864614,1.544,0,0,1971ARG
ARG,1972,0.064353152,1.504,0,0,1972ARG
ARG,1973,0.049042434,2.994,0,0,1973ARG
ARG,1974,0.050067671,5.028,0,0,1974ARG
ARG,1975,0.054922642,5.201,0,0,1975ARG
ARG,1976,0.050202792,5.013,0,0,1976ARG
ARG,1977,0.053855108,5.766,0,0,1977ARG
ARG,1978,0.054136662,7.752,0,0,1978ARG
ARG,1979,0.084393763,10.66,0,0,1979ARG
ARG,1980,0.086251568,15.144,0,0,1980ARG
ARG,1981,0.0747225,14.685,0,0,1981ARG
ARG,1982,0.095912465,17.593,0,0,1982ARG
ARG,1983,0.137314784,18.419,0,0,1983ARG
ARG,1984,0.097392792,19.88,0,0,1984ARG
ARG,1985,0.103321614,20.646,0,0,1985ARG
ARG,1986,0.107078921,21.009,0,0,1986ARG
ARG,1987,0.108156823,21.841,0,0,1987ARG
ARG,1988,0.121116047,15.033,0,0,1988ARG
ARG,1989,0.119376908,12.965,0,0,1989ARG
ARG,1990,0.106763284,17.876,0,0,1990ARG
ARG,1991,0.099600404,16.221,0,0,1991ARG
ARG,1992,0.101865495,19.77905051,0,0,1992ARG
ARG,1993,0.107438403,23.55547475,0,0,1993ARG
ARG,1994,0.119290038,27.97278788,0,0,1994ARG
ARG,1995,0.115592457,28.45812121,0,0,1995ARG
ARG,1996,0.351397492,25.94518182,0,0.009618,1996ARG
ARG,1997,0.44563205,33.0299596,0,0.014592,1997ARG
ARG,1998,0.463881203,32.42178788,1.70E-05,0.032541,1998ARG
ARG,1999,0.650455143,26.53007071,2.60E-05,0.034781,1999ARG
ARG,2000,0.67501431,34.0340101,3.60E-05,0.034758,2000ARG
ARG,2001,0.60932585,41.90326263,4.30E-05,0.049361,2001ARG
ARG,2002,0.850248638,41.46705051,4.70E-05,0.073405,2002ARG
ARG,2003,1.014079858,39.08008081,6.50E-05,0.077954,2003ARG
ARG,2004,0.90029509,35.40287879,7.00E-05,0.072446,2004ARG
ARG,2005,1.074072901,39.35009091,8.10E-05,0.071719665,2005ARG
ARG,2006,1.567410315,43.624,9.00E-05,0.06964,2006ARG
ARG,2007,1.575708696,37.741,0.0001089,0.061593,2007ARG
ARG,2008,1.693536384,37.199,0.0001437,0.041951078,2008ARG
ARG,2009,1.728756162,40.783,7.61E-05,0.036831529,2009ARG
ARG,2010,2.01325481,40.543,8.59E-05,0.025351606,2010ARG
ARG,2011,2.190205828,39.641,0.001614,0.02659055,2011ARG
ARG,2012,2.45382161,36.876,0.008172967,0.369861999,2012ARG
