Code,Year,Number of people without access to electricity,IDWE
AFG,1990,12247889,AFG1990
AFG,1991,12992358,AFG1991
AFG,1992,13979833,AFG1992
AFG,1993,15093589,AFG1993
AFG,1994,16171102,AFG1994
AFG,1995,17097831,AFG1995
AFG,1996,17821102,AFG1996
AFG,1997,18379767,AFG1997
AFG,1998,18859853,AFG1998
AFG,1999,19368820,AFG1999
AFG,2000,19900905,AFG2000
AFG,2001,20803651,AFG2001
AFG,2002,20602355,AFG2002
AFG,2003,20354277,AFG2003
AFG,2004,19961755,AFG2004
AFG,2005,19304514,AFG2005
AFG,2006,18584088,AFG2006
AFG,2007,17633976,AFG2007
AFG,2008,15721362,AFG2008
AFG,2009,15443021,AFG2009
AFG,2010,16504215,AFG2010
AFG,2011,16867943,AFG2011
AFG,2012,9485360,AFG2012
AFG,2013,10389097,AFG2013
AFG,2014,3439592,AFG2014
AFG,2015,9614901,AFG2015
AFG,2016,5497438,AFG2016
ALB,1990,0,ALB1990
ALB,1991,0,ALB1991
ALB,1992,0,ALB1992
ALB,1993,0,ALB1993
ALB,1994,0,ALB1994
ALB,1995,0,ALB1995
ALB,1996,0,ALB1996
ALB,1997,0,ALB1997
ALB,1998,0,ALB1998
ALB,1999,0,ALB1999
ALB,2000,0,ALB2000
ALB,2001,0,ALB2001
ALB,2002,0,ALB2002
ALB,2003,0,ALB2003
ALB,2004,0,ALB2004
ALB,2005,0,ALB2005
ALB,2006,0,ALB2006
ALB,2007,0,ALB2007
ALB,2008,0,ALB2008
ALB,2009,0,ALB2009
ALB,2010,0,ALB2010
ALB,2011,0,ALB2011
ALB,2012,0,ALB2012
ALB,2013,0,ALB2013
ALB,2014,0,ALB2014
ALB,2015,0,ALB2015
ALB,2016,0,ALB2016
DZA,1990,447927,DZA1990
DZA,1991,430772,DZA1991
DZA,1992,412158,DZA1992
DZA,1993,392765,DZA1993
DZA,1994,373477,DZA1994
DZA,1995,355317,DZA1995
DZA,1996,339405,DZA1996
DZA,1997,326960,DZA1997
DZA,1998,319239,DZA1998
DZA,1999,317538,DZA1999
DZA,2000,322702,DZA2000
DZA,2001,333606,DZA2001
DZA,2002,348574,DZA2002
DZA,2003,365909,DZA2003
DZA,2004,383865,DZA2004
DZA,2005,400578,DZA2005
DZA,2006,413977,DZA2006
DZA,2007,421842,DZA2007
DZA,2008,244025,DZA2008
