GDP per capita,Fertility,Life expectancy,Median age,IDCode_SO
2182,4.5,64.5,27.4,AFG
14866,1.6,,32.9,ALB
16091,3,76.7,28.1,DZA
6763,5.5,60.8,15.9,AGO
30593,2,76.9,31.9,ATG
19971,2.3,76.5,31.7,ARG
11845,1.8,74.9,35.1,ARM
54799,1.7,83.3,38.7,AUS
55171,1.5,81.4,44,AUT
19156,1.7,72.9,32.3,AZE
51991,2,77.2,32.3,BHR
5453,2,72.3,26.7,BGD
19364,1.6,79.1,38.6,BRB
21224,1.4,74.6,40,BLR
50904,1.6,81.5,41.4,BEL
8791,2.3,74.5,22.7,BLZ
3648,4.8,61.5,18.2,BEN
10627,2,71.5,27.6,BTN
8525,2.7,71.2,24.3,BOL
14894,1.3,77.3,42.1,BIH
19388,2.9,69.3,24.5,BWA
17106,1.7,75.7,32.6,BRA
85011,1.8,75.7,30.2,BRN
26034,1.6,74.9,42.7,BGR
2181,5.2,61.2,17.3,BFA
724,5.4,61.2,17,BDI
5004,2.5,69.6,25.3,KHM
4099,4.6,58.9,18.5,CMR
52144,1.5,82.3,42.2,CAN
8716,2.3,72.8,25.4,CPV
864,4.7,52.8,19.7,CAF
2603,5.7,54,17.8,TCD
27150,1.6,80,34.4,CHL
20984,1.7,76.7,37.4,CHN
16265,1.8,77.1,30,COL
2898,4.2,64.1,19.9,COM
18651,1.8,80.1,31.3,CRI
29207,1.5,78.3,43,HRV
8822,1.6,78.6,41.5,CUB
42956,1.3,80.8,36.8,CYP
40585,1.7,79.2,42.1,CZE
873,5.9,60.4,18.6,COD
55675,1.7,80.8,42.2,DNK
5855,2.7,66.6,23.9,DJI
12851,1.9,,33.5,DMA
20625,2.3,73.9,28.1,DOM
5321,4,69.3,18.9,TLS
11866,2.4,76.8,27.7,ECU
14800,3.3,71.8,23.9,EGY
8593,2,73.1,27.1,SLV
19961,4.5,58.4,19.8,GNQ
1103,4.1,65.9,19.7,ERI
37606,1.7,78.6,42.7,EST
11139,3,59.4,21.7,SWZ
2702,4.2,66.2,17.9,ETH
12689,2.8,67.3,28.9,FJI
49548,1.4,81.7,42.5,FIN
48640,1.9,82.5,41.4,FRA
19839,4,66.2,18.6,GAB
