IDCode,Year,Nuclear (% sub energy),Renewables (% sub energy),Fossil fuels (% sub energy)
DZA,1965,0,4.487,95.513
DZA,1966,0,3.313,96.687
DZA,1967,0,4.042,95.958
DZA,1968,0,5.171,94.829
DZA,1969,0,2.996,97.004
DZA,1970,0,4.395,95.605
DZA,1971,0,2.311,97.689
DZA,1972,0,3.086,96.914
DZA,1973,0,3.933,96.067
DZA,1974,0,2.347,97.653
DZA,1975,0,1.296,98.704
DZA,1976,0,1.317,98.683
DZA,1977,0,0.829,99.171
DZA,1978,0,0.613,99.387
DZA,1979,0,0.544,99.456
DZA,1980,0,0.403,99.597
DZA,1981,0,0.473,99.527
DZA,1982,0,0.536,99.464
DZA,1983,0,0.241,99.759
DZA,1984,0,0.483,99.517
DZA,1985,0,0.684,99.316
DZA,1986,0,0.25,99.75
DZA,1987,0,0.486,99.514
DZA,1988,0,0.166,99.834
DZA,1989,0,0.211,99.789
DZA,1990,0,0.119,99.881
DZA,1991,0,0.261,99.739
DZA,1992,0,0.173,99.827
DZA,1993,0,0.329,99.671
DZA,1994,0,0.153,99.847
DZA,1995,0,0.171,99.829
DZA,1996,0,0.121,99.879
DZA,1997,0,0.07,99.93
DZA,1998,0,0.194,99.806
DZA,1999,0,0.181,99.819
DZA,2000,0,0.05,99.95
DZA,2001,0,0.061,99.939
DZA,2002,0,0.049,99.951
DZA,2003,0,0.214,99.786
DZA,2004,0,0.194,99.806
DZA,2005,0,0.408,99.592
DZA,2006,0,0.153,99.847
DZA,2007,0,0.15,99.85
DZA,2008,0,0.176,99.824
DZA,2009,0,0.2,99.8
DZA,2010,0,0.109,99.891
DZA,2011,0,0.221,99.779
DZA,2012,0,0.211,99.789
DZA,2013,0,0.061,99.939
DZA,2014,0,0.11,99.89
DZA,2015,0,0.091,99.909
DZA,2016,0,0.137,99.863
DZA,2017,0,0.232,99.768
DZA,2018,0,0.27,99.73
DZA,2019,0,0.273,99.727
ARG,1965,0,1.086,98.914
ARG,1966,0,1.065,98.935
