Date,AverageTemperature,AverageTemperatureUncertainty,Country
2000-02-01,-0.022999999999999687,0.39899999999999997,Åland
2000-03-01,0.6149999999999998,0.429,Åland
2000-04-01,4.1240000000000006,0.348,Åland
2000-05-01,8.557,0.447,Åland
2000-06-01,11.742,0.29100000000000004,Åland
2000-07-01,14.655,0.5429999999999999,Åland
2000-08-01,15.008,0.373,Åland
2000-09-01,11.475,0.255,Åland
2000-10-01,10.428,0.27699999999999997,Åland
2000-11-01,7.132999999999999,0.469,Åland
2000-12-01,3.4889999999999994,0.5379999999999999,Åland
2001-01-01,0.5910000000000006,0.49,Åland
2001-02-01,-4.1739999999999995,0.462,Åland
2001-03-01,-1.903,0.499,Åland
2001-04-01,3.4480000000000004,0.375,Åland
2001-05-01,7.587999999999999,0.225,Åland
2001-06-01,12.425999999999998,0.308,Åland
2001-07-01,17.797,0.535,Åland
2001-08-01,16.03,0.235,Åland
2001-09-01,12.618,0.331,Åland
2001-10-01,9.686,0.182,Åland
2001-11-01,3.7239999999999998,0.252,Åland
2001-12-01,-1.013,0.38,Åland
2002-01-01,-0.7689999999999999,0.369,Åland
2002-02-01,0.9420000000000002,0.342,Åland
2002-03-01,1.09,0.282,Åland
2002-04-01,4.164,0.24600000000000002,Åland
2002-05-01,9.461,0.25,Åland
2002-06-01,14.961,0.35700000000000004,Åland
2002-07-01,17.572,0.40700000000000003,Åland
2002-08-01,19.613,0.251,Åland
2002-09-01,12.564,0.266,Åland
2002-10-01,3.7810000000000006,0.4320000000000001,Åland
2002-11-01,1.0509999999999995,0.24100000000000002,Åland
2002-12-01,-2.817,0.439,Åland
2003-01-01,-3.975,0.583,Åland
2003-02-01,-3.673,0.34700000000000003,Åland
2003-03-01,1.0389999999999997,0.34,Åland
2003-04-01,1.99,0.33799999999999997,Åland
2003-05-01,7.992000000000001,0.39799999999999996,Åland
2003-06-01,12.451,0.361,Åland
2003-07-01,18.674,0.442,Åland
2003-08-01,16.504,0.396,Åland
2003-09-01,12.889,0.273,Åland
2003-10-01,5.252999999999999,0.434,Åland
2003-11-01,4.65,0.276,Åland
2003-12-01,2.0869999999999997,0.369,Åland
2004-01-01,-2.322,0.34700000000000003,Åland
2004-02-01,-1.2619999999999996,0.23600000000000002,Åland
2004-03-01,0.10099999999999976,0.325,Åland
2004-04-01,4.0120000000000005,0.33899999999999997,Åland
2004-05-01,7.832999999999998,0.254,Åland
2004-06-01,11.613,0.38,Åland
2004-07-01,15.44,0.39,Åland
2004-08-01,17.084,0.321,Åland
2004-09-01,12.82,0.243,Åland
2004-10-01,7.729,0.2,Åland
2004-11-01,2.924,0.215,Åland
2004-12-01,2.252,0.434,Åland
2005-01-01,1.3789999999999996,0.42200000000000004,Åland
2005-02-01,-1.899,0.361,Åland
2005-03-01,-3.197,0.45,Åland
2005-04-01,3.61,0.303,Åland
2005-05-01,7.593,0.276,Åland
2005-06-01,11.87,0.303,Åland
2005-07-01,17.572,0.27899999999999997,Åland
2005-08-01,15.995,0.154,Åland
2005-09-01,12.978,0.215,Åland
2005-10-01,8.719000000000001,0.245,Åland
2005-11-01,5.364,0.336,Åland
2005-12-01,0.7050000000000001,0.342,Åland
2006-01-01,-1.4719999999999998,0.49,Åland
