Code,Year,ValPol,IDO
AFG,2010,65.24559168,2010AFG
AFG,2011,66.83572711,2011AFG
AFG,2012,66.02317421,2012AFG
AFG,2013,61.36674452,2013AFG
AFG,2014,59.01033025,2014AFG
AFG,2015,61.2526558,2015AFG
AFG,2016,56.28704672,2016AFG
AFG,2017,56.91080835,2017AFG
AGO,2010,33.78724719,2010AGO
AGO,2011,33.10419463,2011AGO
AGO,2012,33.41549506,2012AGO
AGO,2013,34.66392257,2013AGO
AGO,2014,32.97402504,2014AGO
AGO,2015,32.72987314,2015AGO
AGO,2016,31.78538881,2016AGO
AGO,2017,32.38850491,2017AGO
ALB,2010,21.27782812,2010ALB
ALB,2011,22.77253665,2011ALB
ALB,2012,20.57825918,2012ALB
ALB,2013,19.93851711,2013ALB
ALB,2014,18.88395497,2014ALB
ALB,2015,19.51253962,2015ALB
ALB,2016,18.18993375,2016ALB
ALB,2017,18.20060252,2017ALB
AND,2010,12.8071975,2010AND
AND,2011,13.27350555,2011AND
AND,2012,12.40705303,2012AND
AND,2013,11.81367331,2013AND
AND,2014,10.83041825,2014AND
AND,2015,11.46217847,2015AND
AND,2016,10.25583443,2016AND
AND,2017,10.30762139,2017AND
ARB,2010,53.78700138,2010ARB
ARB,2011,52.65227869,2011ARB
ARB,2012,53.29726985,2012ARB
ARB,2013,54.05382189,2013ARB
ARB,2014,52.58360285,2014ARB
ARB,2015,60.40681347,2015ARB
ARB,2016,58.7649047,2016ARB
ARB,2017,58.6892586,2017ARB
ARE,2010,38.98006849,2010ARE
ARE,2011,39.1934301,2011ARE
ARE,2012,39.27712811,2012ARE
ARE,2013,39.6081551,2013ARE
ARE,2014,37.98342106,2014ARE
ARE,2015,42.33499,2015ARE
ARE,2016,40.52210348,2016ARE
ARE,2017,40.91750982,2017ARE
ARG,2010,16.85910062,2010ARG
ARG,2011,17.38298213,2011ARG
ARG,2012,16.13507182,2012ARG
ARG,2013,15.59737515,2013ARG
ARG,2014,14.46698041,2014ARG
ARG,2015,14.6316259,2015ARG
ARG,2016,13.75144403,2016ARG
ARG,2017,13.31183395,2017ARG
ARM,2010,37.53004093,2010ARM
ARM,2011,38.61227522,2011ARM
ARM,2012,37.18448464,2012ARM
ARM,2013,34.9372126,2013ARM
ARM,2014,33.08594982,2014ARM
ARM,2015,34.88143264,2015ARM
ARM,2016,32.22716773,2016ARM
ARM,2017,32.52811834,2017ARM
ASM,2010,15.07272173,2010ASM
ASM,2011,15.39064186,2011ASM
ASM,2012,14.34415015,2012ASM
ASM,2013,14.12722552,2013ASM
ASM,2014,13.31699203,2014ASM
ASM,2015,13.0193901,2015ASM
ASM,2016,12.38272987,2016ASM
ASM,2017,12.47382024,2017ASM
ATG,2010,22.52887611,2010ATG
ATG,2011,23.1478617,2011ATG
ATG,2012,21.47105044,2012ATG
ATG,2013,20.73538507,2013ATG
ATG,2014,19.72558362,2014ATG
ATG,2015,19.69638779,2015ATG
ATG,2016,18.46093032,2016ATG
ATG,2017,18.62234285,2017ATG
AUS,2010,10.6188794,2010AUS
AUS,2011,11.04726492,2011AUS
AUS,2012,10.53708999,2012AUS
AUS,2013,9.98768389,2013AUS
AUS,2014,9.492978752,2014AUS
AUS,2015,9.320015289,2015AUS
AUS,2016,8.614508924,2016AUS
AUS,2017,8.550324401,2017AUS
AUT,2010,15.14913995,2010AUT
AUT,2011,15.57337093,2011AUT
AUT,2012,14.28233205,2012AUT
AUT,2013,14.08161348,2013AUT
AUT,2014,13.37922794,2014AUT
AUT,2015,13.54109517,2015AUT
AUT,2016,12.59681605,2016AUT
AUT,2017,12.47796673,2017AUT
AZE,2010,23.0476012,2010AZE
AZE,2011,23.6298688,2011AZE
AZE,2012,22.18081034,2012AZE
AZE,2013,22.27878046,2013AZE
AZE,2014,20.71006751,2014AZE
AZE,2015,21.41412281,2015AZE
AZE,2016,20.20815664,2016AZE
AZE,2017,19.92866362,2017AZE
BDI,2010,38.38116825,2010BDI
BDI,2011,38.23619121,2011BDI
BDI,2012,41.01132776,2012BDI
BDI,2013,39.97107204,2013BDI
BDI,2014,39.38755864,2014BDI
BDI,2015,38.43088048,2015BDI
BDI,2016,38.65322349,2016BDI
BDI,2017,38.89626795,2017BDI
BEL,2010,16.00931923,2010BEL
BEL,2011,15.69844257,2011BEL
BEL,2012,14.74189365,2012BEL
BEL,2013,14.02266986,2013BEL
BEL,2014,13.2336213,2014BEL
BEL,2015,13.56652303,2015BEL
BEL,2016,12.83308751,2016BEL
BEL,2017,12.88651847,2017BEL
BEN,2010,32.39296916,2010BEN
BEN,2011,32.58084623,2011BEN
BEN,2012,31.99200044,2012BEN
BEN,2013,31.44329865,2013BEN
BEN,2014,29.66045567,2014BEN
BEN,2015,40.47068263,2015BEN
BEN,2016,38.44770366,2016BEN
BEN,2017,38.99995876,2017BEN
BFA,2010,37.49132872,2010BFA
BFA,2011,37.28137549,2011BFA
BFA,2012,38.78415146,2012BFA
BFA,2013,33.28720021,2013BFA
BFA,2014,33.96909317,2014BFA
BFA,2015,46.56216758,2015BFA
BFA,2016,41.53724291,2016BFA
BFA,2017,42.93559251,2017BFA
BGD,2010,70.76499566,2010BGD
BGD,2011,70.2105489,2011BGD
BGD,2012,70.79390882,2012BGD
BGD,2013,65.64508289,2013BGD
BGD,2014,68.3953774,2014BGD
BGD,2015,66.96574924,2015BGD
BGD,2016,60.12627467,2016BGD
BGD,2017,60.84578458,2017BGD
BGR,2010,22.75619549,2010BGR
BGR,2011,24.30032702,2011BGR
BGR,2012,22.64465578,2012BGR
BGR,2013,20.99963709,2013BGR
BGR,2014,20.74356996,2014BGR
BGR,2015,20.77642742,2015BGR
BGR,2016,19.28301303,2016BGR
BGR,2017,19.14913234,2017BGR
BHR,2010,65.63088097,2010BHR
BHR,2011,63.73249929,2011BHR
BHR,2012,70.28748254,2012BHR
BHR,2013,67.79467818,2013BHR
BHR,2014,62.75854371,2014BHR
BHR,2015,72.60467743,2015BHR
BHR,2016,69.86418236,2016BHR
BHR,2017,70.81620768,2017BHR
BHS,2010,21.1105137,2010BHS
BHS,2011,21.77442494,2011BHS
BHS,2012,20.31707569,2012BHS
BHS,2013,19.90940079,2013BHS
BHS,2014,18.49533328,2014BHS
BHS,2015,18.88630621,2015BHS
BHS,2016,17.65132069,2016BHS
BHS,2017,17.36772049,2017BHS
BIH,2010,32.30015609,2010BIH
BIH,2011,34.19186648,2011BIH
BIH,2012,31.77325971,2012BIH
BIH,2013,30.44623075,2013BIH
BIH,2014,28.77732513,2014BIH
BIH,2015,29.62283839,2015BIH
BIH,2016,27.59446709,2016BIH
BIH,2017,27.74766896,2017BIH
BLR,2010,23.31940958,2010BLR
BLR,2011,22.91114578,2011BLR
BLR,2012,21.64637226,2012BLR
BLR,2013,20.59045954,2013BLR
BLR,2014,19.76605366,2014BLR
BLR,2015,20.07627636,2015BLR
BLR,2016,18.87823952,2016BLR
BLR,2017,18.76557991,2017BLR
BLZ,2010,28.2730542,2010BLZ
BLZ,2011,28.80044628,2011BLZ
BLZ,2012,27.40912213,2012BLZ
BLZ,2013,27.28443966,2013BLZ
BLZ,2014,24.42114809,2014BLZ
BLZ,2015,25.21682566,2015BLZ
BLZ,2016,23.06568424,2016BLZ
BLZ,2017,23.01189211,2017BLZ
BMU,2010,14.64738151,2010BMU
BMU,2011,14.84311292,2011BMU
BMU,2012,13.97908263,2012BMU
BMU,2013,13.47885095,2013BMU
BMU,2014,12.80641477,2014BMU
BMU,2015,12.41796108,2015BMU
BMU,2016,11.65994362,2016BMU
BMU,2017,11.64635919,2017BMU
BOL,2010,29.5728099,2010BOL
